,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
0,15.0,27.01,32.14,40.07,17.0,40.76,22.33,48.6,29.99,35.2,40.27,26.12,43.34,37.36,25.28,17.61,42.55,43.46,64.26,43.42,36.4,57.34,64.26,72.58,44.26,15.0,18.17,15.23,20.22,16.95,16.26,20.51,24.3,15.28,16.75,15.07,15.99,17.24,15.83,15.98,16.79,17.27,18.23,19.84,20.48,23.76,24.7,25.15,26.91,29.97,31.97,15.14,16.24,17.63,20.08,20.42,22.58,25.07,28.43,30.5,29.11,34.53,37.72,23.35,36.38,22.12,22.12,22.12,23.94,23.1,25.58,26.78,26.78,32.73,34.85,34.85,34.85,41.99,35.28,32.76,35.28,31.99,40.11,42.17,47.19,21.54,20.18,17.85,17.42,15.02,18.26,18.41,17.36,29.03,30.42,21.1,23.42,25.6,27.3,28.95,31.92,36.53,36.53,26.32,41.75,29.17,31.22,31.94,33.0,35.25,34.12,38.51,41.58,42.08,42.35,150.0,36.96,25.12,24.72,23.42,23.59,38.17,56.71,19.58,18.0,26.65,29.99,29.2,31.5,33.07,51.55,51.55,37.84,37.84,39.42,28.85,31.4,32.86,37.86,38.72,84.78,28.47,31.33,61.65,51.68,113.35,58.83,37.71,50.07,68.58,69.54,69.54,69.54,37.36,17.51,15.69,17.85,15.44,16.3,41.5,42.2,38.36,39.62,22.57,22.57,26.78,26.78,28.7,27.13,27.39,29.12,38.45,34.26,34.97,94.86,150.0,40.45,43.07,43.08,46.53,47.82,54.42,51.97,57.42,60.99,51.6,41.95,55.51,57.65,63.85,68.65,62.68,71.87,69.78,44.83,50.32,48.95,34.03,35.01,23.75,38.66,17.15,20.08,31.02,24.62,24.62,20.38,37.2,38.08,34.85,22.16,19.07,17.54,65.11,45.3,25.75,43.1,26.28,22.29,33.07,37.84,150.0,34.55,62.6,20.34,24.16,52.82,37.84,33.83,23.44,26.78
1,27.01,90.38,51.62,59.54,34.63,41.4,41.4,49.23,49.47,54.67,51.73,43.94,58.78,54.7,44.45,37.17,60.89,60.13,79.54,62.24,55.7,76.63,83.55,91.88,63.55,26.96,24.62,19.01,20.45,16.94,18.46,22.87,42.91,28.8,29.06,27.18,27.78,33.14,33.73,34.19,35.24,35.78,36.77,38.32,39.49,42.56,44.17,44.63,46.38,49.44,51.44,28.28,33.16,34.79,34.94,29.82,29.01,26.65,32.88,29.05,28.23,34.57,38.36,42.25,54.48,39.09,39.09,39.09,40.91,40.07,38.55,41.09,41.09,46.66,46.07,46.07,46.07,51.88,40.87,39.19,40.87,32.63,40.74,42.81,47.83,40.03,39.28,36.8,36.29,32.69,37.3,37.69,36.65,46.71,48.29,40.64,42.84,44.9,46.64,48.38,51.39,50.14,50.14,43.84,59.95,46.59,48.61,49.27,50.34,52.59,51.46,55.85,58.92,59.41,59.61,150.0,54.3,43.7,43.95,42.58,42.81,55.0,70.5,38.89,37.48,45.8,49.2,48.38,49.58,51.47,70.74,70.74,56.18,56.18,57.76,48.18,50.73,52.07,56.81,57.54,96.05,47.76,50.63,76.13,68.54,119.75,75.03,57.13,69.36,87.87,88.83,88.83,88.83,56.65,30.9,32.0,35.69,34.57,35.79,60.95,61.67,57.84,59.05,34.68,34.68,41.09,41.09,44.88,43.7,44.26,45.88,56.47,51.96,52.67,104.03,150.0,59.27,62.54,62.55,66.01,67.29,73.89,71.44,76.89,80.31,71.07,61.42,74.98,77.13,83.32,88.12,82.15,91.34,89.08,63.75,69.14,68.21,53.51,54.48,43.22,58.13,34.66,34.94,41.53,29.21,29.21,35.98,37.84,41.29,46.07,39.13,38.11,36.88,78.04,60.92,44.29,59.31,45.46,41.47,51.47,56.18,150.0,53.86,76.63,35.29,37.13,72.02,56.18,53.29,40.42,41.09
2,32.14,51.62,15.0,15.71,39.46,63.77,33.65,71.6,15.0,15.09,57.22,32.42,51.61,43.98,26.27,20.77,38.96,38.88,55.84,28.36,16.88,37.53,44.42,52.77,24.46,34.27,38.73,39.73,44.28,42.18,40.66,44.28,48.94,30.03,31.28,33.21,36.63,35.45,29.31,27.6,24.76,23.91,22.62,21.52,22.34,17.0,15.0,15.0,15.0,15.0,15.0,34.39,39.34,41.53,39.98,43.43,45.59,48.1,51.44,53.54,52.15,57.48,60.73,32.56,37.42,36.64,36.64,36.64,39.07,39.94,45.15,43.62,43.62,49.7,51.73,51.73,51.73,58.87,58.29,55.77,58.29,55.0,63.11,65.18,70.2,33.44,32.34,31.42,30.23,29.71,26.36,24.0,22.07,31.81,29.13,19.64,16.23,15.82,15.32,15.0,15.0,53.38,53.38,34.07,37.92,36.01,37.82,38.56,39.62,41.87,40.74,45.13,48.2,48.7,48.97,150.0,43.58,31.35,26.97,26.06,23.93,37.32,57.27,19.78,19.81,28.81,30.17,31.36,29.61,27.85,33.52,33.52,34.2,34.2,35.83,23.32,24.05,24.54,27.27,27.7,79.52,16.31,15.0,50.54,36.79,107.36,46.13,15.57,30.26,48.77,49.69,49.69,49.69,18.36,28.83,26.92,27.22,23.61,21.96,17.39,17.56,15.0,15.76,44.58,44.58,43.62,43.62,41.53,41.11,39.86,38.95,37.82,37.75,36.9,92.08,150.0,30.46,18.42,18.02,21.47,22.76,29.36,27.32,32.78,36.42,26.53,16.89,30.44,32.59,38.61,43.24,37.62,46.57,45.13,28.48,33.63,29.14,15.0,15.0,15.04,15.0,35.84,39.98,45.66,47.63,47.63,39.78,60.21,61.09,51.73,38.12,30.54,22.95,61.33,44.49,24.56,42.49,27.31,29.45,27.85,34.2,150.0,18.12,52.61,40.17,45.51,34.79,34.2,15.02,38.34,43.62
3,40.07,59.54,15.71,15.0,47.24,71.7,41.43,79.53,16.52,15.2,64.16,38.35,58.12,49.24,34.04,28.69,41.89,45.48,58.35,31.45,19.68,37.08,40.81,52.32,23.26,42.2,46.73,47.66,52.2,50.1,48.58,52.27,56.86,37.95,39.2,41.21,44.69,43.64,37.43,35.59,32.91,32.07,30.76,29.62,30.31,25.22,20.76,20.34,18.9,16.43,15.95,42.31,47.27,49.46,47.75,51.36,53.51,56.02,59.36,61.47,60.07,65.4,68.66,40.33,42.83,43.22,43.22,43.22,45.58,46.88,52.14,50.56,50.56,56.68,58.67,58.67,58.67,65.81,65.47,63.69,65.47,62.92,70.41,73.1,78.12,41.22,40.11,39.19,38.0,37.64,34.2,31.79,29.86,39.03,36.37,27.59,24.05,23.13,21.82,19.51,15.77,60.32,60.32,40.05,42.68,41.81,42.26,45.06,46.14,48.38,47.26,51.64,54.71,55.21,55.48,150.0,47.78,38.84,34.74,33.64,31.57,44.08,62.82,27.62,27.73,36.3,36.88,34.36,32.56,30.84,36.58,36.58,37.12,37.12,38.75,29.97,30.21,29.18,30.24,30.78,81.38,23.32,18.3,55.48,40.28,108.39,49.09,15.8,29.59,48.32,42.99,42.99,42.99,19.71,36.72,34.83,34.99,31.53,29.89,16.13,15.0,15.0,15.29,52.36,52.36,50.56,50.56,48.04,47.62,46.32,45.33,41.85,41.16,39.83,93.63,150.0,33.55,15.0,15.0,15.02,15.53,20.74,21.68,27.14,29.62,17.97,15.0,21.76,23.87,30.15,34.94,29.0,38.17,36.52,30.8,34.55,28.58,15.0,15.0,22.48,15.0,43.67,47.75,52.61,55.55,55.55,47.55,68.14,68.28,58.67,45.06,38.03,30.73,66.65,50.79,32.01,49.01,35.08,37.22,30.84,37.12,150.0,23.23,57.83,47.95,52.5,37.86,37.12,17.69,44.99,50.56
4,17.0,34.63,39.46,47.24,15.0,37.84,18.0,45.68,37.22,41.71,33.87,18.44,36.16,29.4,21.35,26.28,34.99,46.06,59.39,37.54,36.54,61.29,68.18,76.53,48.35,17.94,23.76,23.64,25.67,26.09,25.57,29.75,32.09,17.98,23.33,20.34,23.73,26.61,25.69,25.59,26.51,26.98,27.98,29.61,29.53,31.07,32.11,32.57,34.25,37.27,39.22,16.85,17.42,17.17,15.0,17.5,19.66,25.07,25.51,31.13,29.83,32.38,34.8,18.69,30.51,16.06,16.06,16.06,17.48,16.75,21.36,20.38,20.38,26.33,28.45,28.45,28.45,35.59,32.36,29.84,32.36,29.07,37.19,39.25,44.27,16.31,18.16,18.66,20.23,18.98,22.69,24.16,23.49,34.84,36.57,28.9,30.25,31.7,33.6,35.84,39.14,30.12,30.12,19.39,36.01,21.41,23.25,23.97,25.04,27.29,26.16,30.55,33.62,34.12,34.39,150.0,28.99,18.12,23.18,25.6,26.52,43.14,61.05,25.87,25.65,22.19,27.08,24.78,23.68,25.57,47.26,47.26,30.28,30.28,31.86,31.41,33.01,32.18,32.51,32.84,81.03,34.32,37.32,64.61,49.96,111.92,54.12,43.04,52.85,72.53,73.45,73.45,73.45,42.96,22.51,22.86,25.21,24.13,24.96,48.19,49.18,44.36,45.27,18.35,18.35,20.38,20.38,22.23,20.66,20.92,22.66,31.4,26.11,26.82,91.08,150.0,34.57,50.05,50.14,53.6,54.88,61.48,58.95,64.4,65.01,58.66,49.01,62.57,64.72,70.96,75.82,69.74,78.5,73.81,39.57,44.44,46.59,41.11,42.07,31.16,45.94,18.5,15.0,31.74,21.72,21.72,15.08,34.28,35.16,28.45,16.09,22.83,23.73,69.67,50.16,31.33,47.5,22.33,19.63,25.57,30.28,150.0,36.42,66.57,15.05,19.94,48.53,30.28,40.95,17.11,20.38
5,40.76,41.4,63.77,71.7,37.84,15.52,40.46,23.43,61.62,65.66,29.97,41.32,37.47,44.79,44.79,50.22,57.72,66.21,78.05,60.89,59.98,84.73,91.62,99.97,71.79,39.55,36.26,35.45,29.79,33.94,35.99,41.56,38.75,41.61,44.84,44.05,45.25,50.3,49.51,49.42,50.33,50.8,51.8,53.43,53.47,55.28,56.33,56.78,58.54,61.59,63.6,37.53,32.3,34.87,30.54,25.35,24.54,21.75,18.0,18.91,20.01,18.92,15.18,39.9,52.41,36.01,36.01,36.01,37.62,36.53,33.78,33.14,33.14,29.73,24.3,24.3,24.3,30.12,18.73,20.8,18.73,15.84,18.21,19.76,23.79,36.95,40.6,41.6,43.66,42.8,45.91,47.29,47.59,56.87,58.92,53.02,54.44,55.74,57.74,60.11,63.55,28.37,28.37,40.86,58.22,43.19,42.01,42.45,43.51,43.18,43.05,40.0,40.57,39.75,38.76,150.0,46.88,41.56,46.38,48.67,49.74,63.61,78.31,50.14,49.73,45.63,50.51,48.22,47.11,49.01,70.69,70.69,53.01,53.01,54.59,54.85,56.45,55.62,55.95,56.28,94.78,58.56,61.44,82.37,70.47,119.73,73.99,66.55,76.26,95.97,96.89,96.89,96.89,67.34,44.51,46.37,48.54,47.97,48.79,72.72,73.82,68.06,68.73,30.24,30.24,33.14,33.14,36.96,37.81,38.71,38.66,52.29,47.98,48.61,102.45,150.0,57.79,74.7,74.7,78.16,79.45,86.05,83.59,89.05,88.45,83.22,73.58,87.13,89.28,95.47,100.28,94.3,102.62,97.24,62.95,67.73,69.99,65.66,66.63,55.38,70.29,40.22,30.54,42.9,21.94,21.94,32.0,16.04,19.08,24.3,35.93,45.44,47.16,85.8,69.69,54.2,67.18,45.77,42.59,49.01,53.01,150.0,59.86,84.1,30.86,32.69,71.96,53.01,65.34,37.16,33.14
6,22.33,41.4,33.65,41.43,18.0,40.46,15.0,48.29,31.23,35.78,31.43,15.0,30.44,22.81,15.0,21.73,29.0,38.59,54.52,31.54,30.46,55.31,62.2,70.55,42.32,24.46,30.02,30.31,32.52,32.76,31.65,36.1,38.82,19.75,23.62,25.02,29.38,31.77,27.12,25.21,24.62,24.82,25.51,26.43,25.09,25.79,26.82,27.28,28.65,31.42,33.28,22.06,22.2,20.59,16.33,20.12,22.27,29.94,28.12,33.74,34.35,35.64,37.42,15.0,26.89,15.0,15.0,15.0,15.0,15.0,19.41,17.82,17.82,23.95,25.94,25.94,25.94,33.08,32.74,32.45,32.74,31.68,37.68,41.86,46.89,15.0,15.0,15.0,15.0,20.8,19.5,18.29,17.82,30.04,31.44,23.78,24.44,25.4,27.19,29.66,33.13,27.59,27.59,15.0,30.2,15.37,16.67,17.39,18.45,20.7,19.57,23.96,27.03,27.54,27.8,150.0,22.41,15.0,15.1,17.43,17.88,36.8,56.79,20.1,20.62,15.03,18.59,16.32,17.66,19.5,41.27,41.27,24.29,24.29,25.87,22.51,25.49,24.67,26.52,26.85,77.44,27.02,30.88,58.08,43.99,109.92,48.98,37.01,46.84,66.54,67.47,67.47,67.47,36.89,22.05,22.7,23.32,21.02,21.38,42.39,43.4,38.42,39.22,20.94,20.94,17.82,17.82,18.86,17.3,16.78,17.75,25.26,20.12,20.83,88.09,150.0,28.58,44.28,44.29,47.74,49.03,55.63,53.17,58.63,59.03,52.8,43.16,56.71,58.86,65.13,70.01,63.89,72.63,67.82,33.58,38.45,40.6,35.24,36.21,25.87,40.17,16.31,16.33,34.19,24.33,24.33,16.13,36.9,35.54,25.94,15.0,16.34,17.22,65.93,45.3,25.23,40.6,15.03,15.0,19.5,24.29,150.0,28.91,60.96,16.53,19.77,42.54,24.29,34.91,15.0,17.82
7,48.6,49.23,71.6,79.53,45.68,23.43,48.29,22.7,69.45,73.49,36.35,49.15,43.84,51.17,52.62,58.05,64.37,73.01,83.77,68.57,67.81,92.56,99.46,107.8,79.63,47.39,44.09,43.28,37.62,41.78,43.83,49.4,46.58,49.44,52.67,51.88,53.08,58.13,57.34,57.25,58.16,58.63,59.63,61.26,61.3,63.11,64.16,64.61,66.37,69.43,71.43,45.36,40.14,42.7,38.37,33.18,32.37,29.58,25.64,26.75,27.64,28.07,23.35,47.73,60.24,43.84,43.84,43.84,45.1,43.6,41.06,39.51,39.51,36.1,30.68,30.68,30.68,36.49,24.28,27.05,24.28,22.6,21.94,18.35,19.63,44.78,48.43,49.43,51.5,50.63,53.74,55.12,55.42,64.05,66.15,60.86,62.27,63.57,65.57,67.95,71.38,34.75,34.75,48.7,65.95,50.34,48.39,48.82,49.89,49.56,49.43,46.38,46.95,46.13,45.13,150.0,53.26,49.4,54.21,56.5,57.57,70.44,83.91,57.97,57.56,53.46,58.34,56.05,54.95,56.84,78.52,78.52,59.67,59.67,61.24,62.68,64.28,63.46,63.78,64.11,98.96,66.39,69.27,88.25,77.33,122.34,80.33,74.38,84.04,103.8,104.72,104.72,104.72,75.17,52.34,54.2,56.23,55.8,56.62,80.55,81.65,75.89,76.56,38.07,38.07,39.51,39.51,43.34,44.25,45.15,45.03,59.07,54.35,54.98,105.78,150.0,65.27,82.53,82.54,85.99,87.28,93.88,91.42,96.88,96.28,91.06,81.41,94.96,97.11,103.31,108.11,102.14,110.45,105.08,70.67,75.32,77.75,73.49,74.46,63.21,78.12,48.05,38.37,50.73,29.77,29.77,39.83,18.96,25.39,30.68,43.55,53.27,54.99,91.02,76.03,61.73,73.75,53.6,50.42,56.84,59.67,150.0,67.69,89.79,38.69,40.52,79.8,59.67,73.17,44.7,39.51
8,29.99,49.47,15.0,16.52,37.22,61.62,31.23,69.45,15.0,15.18,54.8,29.95,49.19,41.56,23.84,18.62,35.88,36.57,53.34,25.28,15.26,35.29,42.14,50.53,22.11,32.12,37.1,37.58,42.13,40.03,38.51,42.65,46.79,27.87,29.13,31.43,35.31,35.35,28.45,25.85,23.74,22.81,21.69,20.67,20.5,16.9,15.0,15.0,15.0,15.0,15.0,32.24,37.19,39.38,37.56,41.28,43.44,45.94,49.29,51.39,50.0,55.33,58.58,30.13,34.78,34.22,34.22,34.22,36.64,37.52,42.73,41.19,41.19,47.28,49.31,49.31,49.31,56.45,56.05,53.62,56.05,52.85,60.96,63.03,68.05,31.02,29.92,28.99,27.81,27.56,24.05,21.62,19.68,29.77,27.03,17.63,15.06,15.02,15.0,15.0,15.0,50.96,50.96,31.62,35.19,33.55,35.31,36.13,37.2,39.45,38.32,42.71,45.78,46.28,46.55,150.0,41.0,28.93,24.55,23.41,21.33,35.25,55.54,17.47,17.65,26.38,27.75,28.23,26.53,24.77,30.44,30.44,31.12,31.12,32.75,20.37,20.9,21.47,24.19,24.62,77.68,15.01,15.0,48.82,34.1,106.33,43.49,15.76,28.0,46.53,47.44,47.44,47.44,15.47,26.61,24.75,25.09,21.45,19.81,17.87,18.4,15.19,16.24,42.16,42.16,41.19,41.19,39.11,38.69,37.44,36.53,35.06,34.85,33.82,90.54,150.0,27.39,19.28,19.26,22.72,24.01,30.6,28.17,33.63,37.27,27.78,18.13,31.69,33.84,40.14,45.06,38.86,48.2,46.36,25.42,30.7,26.9,15.0,15.0,15.13,15.38,33.51,37.56,43.32,45.48,45.48,37.36,58.06,58.85,49.31,35.7,27.79,20.55,60.29,42.58,22.36,40.45,24.89,27.03,24.77,31.12,150.0,15.68,51.83,37.75,43.09,31.71,31.12,15.0,35.92,41.19
9,35.2,54.67,15.09,15.2,41.71,65.66,35.78,73.49,15.18,17.45,57.68,32.0,51.76,43.01,28.96,23.83,35.76,40.63,53.31,25.21,15.47,32.95,39.7,48.19,19.64,37.33,42.25,42.79,47.33,45.24,43.72,47.79,52.0,33.07,34.32,36.61,40.43,40.32,33.5,31.01,28.86,27.94,26.79,25.72,25.67,21.89,17.14,16.83,15.85,15.23,15.09,37.44,42.28,44.29,41.53,45.32,47.48,50.56,53.33,56.6,54.91,59.54,62.62,34.1,36.51,36.81,36.81,36.81,39.21,40.4,45.66,44.08,44.08,50.2,52.19,52.19,52.19,59.33,58.99,57.66,58.99,56.89,63.93,67.07,72.09,36.16,35.0,34.12,32.94,32.77,29.22,26.76,24.83,34.53,31.8,22.82,19.18,18.17,16.92,15.63,15.06,53.84,53.84,33.73,36.44,35.5,36.09,38.7,39.77,42.02,40.89,45.28,48.35,48.85,49.12,150.0,41.62,32.46,29.67,28.35,26.23,39.63,59.24,22.66,22.85,30.21,30.45,28.19,26.42,24.67,30.46,30.46,31.0,31.0,32.63,23.46,23.75,22.85,24.11,24.61,77.67,17.72,15.38,50.76,34.91,106.33,43.73,15.13,25.64,44.18,44.88,44.88,44.88,15.73,31.8,29.95,30.2,26.65,25.02,16.17,15.55,15.03,15.15,46.17,46.17,44.08,44.08,41.67,41.25,39.96,38.99,35.67,35.01,33.7,90.54,150.0,27.35,16.14,16.37,19.77,21.06,27.66,24.94,30.39,34.04,24.84,15.52,28.74,30.89,37.25,42.21,35.92,45.32,43.38,24.91,29.66,24.63,15.0,15.0,18.99,15.09,38.58,41.53,47.49,49.53,49.53,41.46,62.1,61.79,52.19,38.58,32.64,25.69,63.63,46.7,27.12,44.74,29.91,32.06,24.67,31.0,150.0,17.4,53.71,41.76,46.01,31.73,31.0,15.32,38.59,44.08
