,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
0,2.95,26.41,32.57,42.08,14.38,42.92,20.8,52.31,29.99,36.24,42.33,25.35,46.01,38.84,24.33,15.13,45.06,42.98,66.61,46.1,37.69,62.81,71.11,81.1,47.11,5.02,14.79,11.52,18.15,14.34,13.21,18.61,23.16,5.17,10.04,6.62,10.84,14.28,12.75,12.92,14.1,14.71,15.88,17.8,18.57,22.51,23.64,24.18,26.29,29.96,32.36,7.39,13.17,15.16,18.1,18.51,21.1,24.08,28.11,30.6,28.94,35.44,39.27,22.02,37.66,20.54,20.54,20.54,22.73,21.72,24.7,26.13,26.13,33.28,35.82,35.82,35.82,44.39,36.33,33.31,36.33,32.39,42.13,44.6,50.63,19.85,18.21,15.28,14.47,10.1,15.66,16.05,14.82,26.83,28.66,19.32,22.1,24.72,26.76,28.74,32.31,37.83,37.83,25.59,44.11,29.0,31.46,32.32,33.6,36.3,34.94,40.21,43.9,44.5,44.83,150.0,38.35,24.15,23.66,22.1,22.31,36.74,55.2,17.5,15.6,25.98,29.98,29.04,31.8,33.68,55.85,55.85,39.4,39.4,41.31,28.62,31.68,33.43,39.44,40.47,86.14,28.17,31.6,61.98,53.02,114.03,61.17,39.25,54.09,76.29,77.45,77.45,77.45,38.83,11.28,10.31,13.63,12.14,13.52,43.79,44.63,40.04,41.54,21.08,21.08,26.13,26.13,28.44,26.55,26.87,28.95,40.14,35.12,35.97,95.83,150.0,42.54,45.68,45.69,49.84,51.39,59.3,56.36,62.9,67.19,55.92,44.34,60.61,63.18,70.62,76.38,69.21,80.24,77.74,47.8,54.39,52.74,34.84,36.01,22.5,40.39,13.71,18.1,31.22,23.54,23.54,18.45,38.64,39.69,35.82,20.59,16.85,15.04,64.13,43.79,23.97,41.84,25.54,20.75,33.68,39.4,150.0,35.46,62.57,18.4,22.99,57.38,39.4,34.6,22.13,26.13
1,26.41,88.6,55.94,65.45,35.56,43.67,43.68,53.08,53.36,59.61,56.08,46.73,64.53,59.64,47.34,38.61,67.06,62.99,84.95,68.69,60.84,85.96,94.26,104.25,70.26,26.36,23.55,16.81,18.46,13.42,15.88,20.2,39.95,28.56,28.87,26.62,27.34,33.76,34.47,35.03,36.29,36.94,38.13,39.99,41.39,45.07,47.01,47.55,49.66,53.33,55.73,27.94,33.8,35.75,35.93,29.78,28.81,25.98,33.46,28.86,27.88,35.46,40.03,44.7,59.37,40.91,40.91,40.91,43.09,42.09,40.26,43.31,43.31,49.99,49.28,49.28,49.28,56.26,43.04,41.02,43.04,33.15,42.89,45.37,51.39,42.04,41.13,38.16,37.54,33.22,38.76,39.23,37.98,48.05,50.1,42.77,45.4,47.89,49.97,52.05,55.67,54.16,54.16,46.61,65.94,49.91,52.33,53.13,54.4,57.1,55.75,61.02,64.7,65.29,65.54,150.0,59.16,46.44,46.74,45.1,45.37,56.94,71.74,40.67,38.98,48.96,53.04,52.05,53.49,55.77,78.89,78.89,61.41,61.41,63.31,51.81,54.88,56.48,62.17,63.05,99.66,51.32,54.75,79.36,73.25,121.7,80.61,62.56,77.24,99.45,100.6,100.6,100.6,61.98,31.08,32.4,36.39,35.48,36.94,67.14,68.0,63.41,64.86,35.62,35.62,43.31,43.31,47.85,46.45,47.11,49.06,61.77,56.36,57.21,106.84,150.0,65.12,69.05,69.06,73.21,74.75,82.67,79.73,86.27,90.37,79.28,67.7,83.97,86.55,93.98,99.75,92.58,103.61,100.89,70.5,76.97,75.86,58.21,59.37,45.86,63.76,35.59,35.93,43.84,29.05,29.05,37.17,39.41,43.55,49.28,40.96,39.73,38.25,79.65,62.53,46.22,61.3,48.55,43.76,55.77,61.41,150.0,58.64,79.41,36.35,38.55,80.42,61.41,57.95,42.5,43.31
2,32.57,55.94,0.0,11.67,41.35,70.53,34.38,79.92,5.11,8.62,62.66,32.91,55.93,46.78,25.52,18.92,40.75,37.49,56.51,28.03,14.25,39.03,47.31,57.32,23.36,35.13,40.47,41.68,47.13,44.62,42.79,47.14,52.73,30.03,31.53,33.86,37.95,36.53,29.18,27.12,23.72,22.69,21.15,19.83,20.81,14.4,9.08,8.58,6.85,3.65,3.96,35.27,41.21,43.84,41.98,46.12,48.71,51.71,55.72,58.25,56.58,62.98,66.88,33.06,38.9,37.97,37.97,37.97,40.88,41.92,48.18,46.34,46.34,53.64,56.07,56.07,56.07,64.64,63.94,60.92,63.94,60.0,69.74,72.21,78.24,34.13,32.8,31.7,30.28,29.66,25.63,22.79,20.48,30.17,27.11,17.57,13.45,12.44,11.05,8.56,7.02,58.05,58.05,34.89,39.51,37.21,39.39,40.27,41.54,44.25,42.89,48.16,51.84,52.44,52.77,150.0,46.31,31.63,26.37,25.27,22.71,35.72,55.87,17.74,17.78,28.57,30.21,31.64,29.53,27.42,34.22,34.22,35.04,35.04,36.99,21.98,22.86,23.46,26.72,27.24,79.83,13.27,7.28,48.65,35.15,106.83,45.93,11.37,30.32,52.52,53.63,53.63,53.63,16.03,28.6,26.3,26.22,22.34,20.36,14.8,15.07,11.0,12.75,47.5,47.5,46.34,46.34,43.84,43.33,41.84,40.74,39.38,39.3,38.28,92.5,150.0,30.56,16.1,15.62,19.77,21.31,29.23,26.78,33.33,37.7,25.84,14.26,30.53,33.11,40.33,45.88,39.14,49.89,48.16,28.18,34.36,28.97,5.29,7.98,11.13,9.64,37.02,41.98,48.79,51.15,51.15,41.74,66.25,67.3,56.07,39.74,30.64,21.54,59.59,42.82,22.55,41.12,26.77,29.34,27.42,35.04,150.0,15.75,50.5,42.21,48.61,35.75,35.04,9.8,40.01,46.34
3,42.08,65.45,11.67,2.83,50.69,80.03,43.71,89.43,13.77,10.35,70.99,40.02,63.75,53.1,34.85,28.43,44.26,45.41,59.52,31.74,17.61,38.49,42.97,56.79,21.91,44.63,50.07,51.19,56.64,54.12,52.3,56.73,62.24,39.53,41.04,43.46,47.62,46.37,38.91,36.71,33.49,32.48,30.91,29.55,30.37,24.27,18.91,18.41,16.68,13.39,12.64,44.77,50.72,53.35,51.3,55.63,58.21,61.22,65.23,67.76,66.08,72.49,76.39,42.39,45.4,45.87,45.87,45.87,48.69,50.25,56.57,54.67,54.67,62.02,64.4,64.4,64.4,72.97,72.57,70.43,72.57,69.51,78.5,81.72,87.75,43.46,42.13,41.03,39.6,39.17,35.03,32.15,29.83,38.84,35.79,27.11,22.86,21.75,20.18,17.42,12.45,66.38,66.38,42.06,45.21,44.17,44.72,48.08,49.36,52.06,50.7,55.97,59.65,60.26,60.58,150.0,51.34,40.61,35.69,34.37,31.88,43.83,62.53,27.14,27.27,37.56,38.26,35.23,33.08,31.01,37.9,37.9,38.55,38.55,40.5,29.97,30.25,29.02,30.29,30.94,82.05,21.99,15.95,54.58,39.33,108.07,49.48,12.19,29.51,51.98,45.58,45.58,45.58,17.65,38.06,35.79,35.55,31.83,29.87,8.3,8.35,8.58,10.73,56.83,56.83,54.67,54.67,51.64,51.14,49.58,48.4,44.22,43.39,41.79,94.35,150.0,34.26,9.35,5.46,9.61,11.16,18.9,20.03,26.58,29.54,15.42,4.11,20.11,22.64,30.19,35.92,28.81,39.8,37.83,30.96,35.47,28.29,9.14,6.94,20.98,2.83,46.4,51.3,57.13,60.66,60.66,51.06,75.76,75.93,64.4,48.07,39.64,30.88,65.98,50.37,31.49,48.94,36.1,38.67,31.01,38.55,150.0,21.88,56.85,51.54,57.0,39.43,38.55,15.22,47.99,54.67
4,14.38,35.56,41.35,50.69,2.8,39.41,15.6,48.81,38.66,44.05,34.64,16.13,37.39,29.28,19.62,25.53,35.98,46.1,60.76,39.05,37.85,67.55,75.82,85.84,52.03,15.53,22.51,22.37,24.81,25.31,24.68,29.7,32.51,15.58,21.99,18.41,22.47,25.93,24.83,24.71,25.81,26.38,27.57,29.53,29.43,31.29,32.54,33.08,35.1,38.72,41.06,13.91,14.75,14.61,10.42,15.0,17.59,24.08,24.61,31.35,29.8,32.86,35.77,16.42,30.54,12.79,12.79,12.79,14.97,14.03,19.63,18.45,18.45,25.59,28.14,28.14,28.14,36.7,32.83,29.81,32.83,28.88,38.62,41.1,47.12,13.25,15.72,16.39,18.27,16.78,21.22,22.99,22.19,33.81,36.04,28.68,30.3,32.04,34.33,37.01,40.96,30.14,30.14,17.26,37.22,19.69,21.9,22.77,24.04,26.74,25.39,30.66,34.34,34.94,35.27,150.0,28.79,15.75,21.82,24.72,25.82,42.7,60.4,25.05,24.78,20.63,26.49,23.73,22.41,24.69,50.71,50.71,30.33,30.33,32.23,31.69,33.61,32.62,33.02,33.41,81.64,35.18,38.78,65.53,50.96,112.3,55.52,45.64,57.41,81.03,82.14,82.14,82.14,45.56,21.01,21.44,23.81,22.96,23.96,51.83,53.01,47.23,48.33,16.01,16.01,18.45,18.45,20.68,18.8,19.11,21.19,31.68,25.33,26.18,91.3,150.0,35.49,54.06,54.16,58.31,59.86,67.77,64.73,71.28,72.02,64.39,52.81,69.08,71.66,79.15,84.98,77.69,88.2,82.57,41.49,47.33,49.91,43.33,44.48,31.4,49.13,15.75,10.42,32.08,20.06,20.06,10.77,35.14,36.19,28.14,12.84,21.4,22.47,69.61,49.62,30.67,47.13,20.79,17.56,24.69,30.33,150.0,37.7,67.34,10.72,17.93,52.23,30.33,43.14,14.38,18.45
5,42.92,43.67,70.53,80.03,39.41,7.02,42.55,20.74,67.95,72.79,29.96,43.59,38.96,47.75,47.74,54.27,63.26,70.28,83.16,67.07,65.98,95.68,103.95,113.96,80.15,41.47,37.51,36.54,29.75,34.73,37.19,43.87,40.5,43.93,47.8,46.85,48.3,54.36,53.41,53.3,54.4,54.96,56.16,58.11,58.16,60.34,61.59,62.14,64.25,67.91,70.32,39.03,32.77,35.84,30.65,24.42,23.45,20.1,15.37,16.7,17.76,15.6,8.04,41.88,56.89,37.21,37.21,37.21,39.14,37.84,34.54,33.76,33.76,29.67,23.16,23.16,23.16,30.14,15.49,18.81,15.49,11.84,13.92,16.37,22.41,38.34,42.71,43.92,46.4,45.36,49.1,50.75,51.11,60.24,62.86,57.63,59.33,60.89,63.29,66.14,70.26,28.05,28.05,43.03,63.86,45.83,44.41,44.94,46.21,45.81,45.66,42.0,42.68,41.7,40.51,150.0,50.26,43.88,49.65,52.4,53.68,67.27,81.12,54.16,53.67,48.75,54.62,51.86,50.54,52.81,78.83,78.83,57.61,57.61,59.51,59.82,61.74,60.75,61.14,61.54,98.14,64.27,67.72,86.85,75.57,121.68,79.36,73.86,85.51,109.16,110.27,110.27,110.27,74.81,47.41,49.64,51.82,51.57,52.54,81.27,82.59,75.67,76.48,30.29,30.29,33.76,33.76,38.35,39.37,40.45,40.39,56.75,51.57,52.33,104.94,150.0,63.36,83.64,83.65,87.79,89.34,97.25,94.31,100.86,100.14,93.87,82.29,98.56,101.14,108.57,114.33,107.17,117.14,110.7,69.53,75.28,77.99,72.79,73.96,60.45,78.34,42.26,30.65,45.48,20.33,20.33,32.4,10.25,16.34,23.16,37.11,48.53,50.6,88.96,73.06,58.12,70.75,48.92,45.11,52.81,57.61,150.0,65.83,88.37,31.03,33.23,80.36,57.61,72.41,38.59,33.76
6,20.8,43.68,34.38,43.71,15.6,42.55,0.0,51.95,31.48,36.93,31.71,8.03,30.53,21.38,8.87,20.08,28.8,37.14,54.92,31.85,30.55,60.37,68.64,78.66,44.78,23.35,30.02,30.37,33.02,33.31,31.98,37.32,40.59,17.69,22.35,24.02,29.25,32.13,26.55,24.26,23.55,23.78,24.61,25.72,24.11,24.95,26.19,26.73,28.38,31.71,33.94,20.48,20.65,18.71,13.6,18.14,20.73,29.92,27.75,34.49,35.22,36.77,38.9,3.19,21.54,6.59,6.59,6.59,10.93,10.98,17.29,15.39,15.39,22.75,25.12,25.12,25.12,33.69,33.29,32.94,33.29,32.02,39.22,44.24,50.26,5.84,5.43,7.4,9.32,18.96,17.12,15.94,15.38,28.05,29.88,22.54,23.32,24.48,26.63,29.59,33.76,27.1,27.1,7.92,28.95,11.6,14.01,14.86,16.14,18.84,17.48,22.75,26.44,27.04,27.37,150.0,20.89,7.11,10.68,14.91,15.46,35.09,55.29,18.12,18.75,10.86,16.31,13.59,15.19,17.4,43.52,43.52,23.15,23.15,25.05,21.02,24.6,23.61,25.82,26.22,77.33,26.43,31.05,57.69,43.78,109.91,49.35,38.42,50.21,73.85,74.96,74.96,74.96,38.27,20.45,21.23,21.54,19.23,19.66,44.87,46.08,40.11,41.07,19.13,19.13,15.39,15.39,16.64,14.76,14.14,15.3,24.31,18.15,19.0,87.71,150.0,28.29,47.13,47.14,51.29,52.84,60.75,57.81,64.35,64.84,57.37,45.79,62.06,64.63,72.16,78.01,70.66,81.16,75.39,34.3,40.14,42.72,36.29,37.46,25.05,42.2,13.31,13.6,35.03,23.2,23.2,13.36,38.28,36.65,25.12,8.79,12.45,14.67,65.11,43.79,23.36,38.84,10.23,5.6,17.4,23.15,150.0,28.69,60.61,13.83,17.72,45.05,23.15,35.89,9.85,15.39
7,52.31,53.08,79.92,89.43,48.81,20.74,51.95,16.83,77.34,82.19,37.62,52.99,46.61,55.4,57.14,63.66,71.24,78.44,90.02,76.28,75.38,105.07,113.35,123.36,89.55,50.86,46.91,45.94,39.15,44.13,46.6,53.28,49.9,53.33,57.2,56.25,57.7,63.76,62.81,62.7,63.8,64.36,65.55,67.51,67.56,69.74,70.99,71.54,73.64,77.31,79.71,48.43,42.16,45.24,40.04,33.82,32.85,29.5,24.77,26.1,27.16,27.63,21.32,51.27,66.29,46.61,46.61,46.61,48.12,46.32,43.28,41.42,41.42,37.33,30.82,30.82,30.82,37.79,23.14,26.46,23.14,21.12,20.33,14.69,14.22,47.74,52.11,53.32,55.79,54.76,58.49,60.15,60.51,68.86,71.53,67.03,68.72,70.29,72.69,75.53,79.66,35.7,35.7,52.43,73.14,54.4,52.07,52.59,53.87,53.47,53.31,49.65,50.34,49.36,48.16,150.0,57.91,53.27,59.05,61.8,63.08,75.47,87.83,63.56,63.07,58.15,64.01,61.26,59.94,62.21,88.23,88.23,65.6,65.6,67.49,69.21,71.13,70.14,70.54,70.94,103.15,73.67,77.12,93.89,83.79,124.81,86.97,83.26,94.85,118.56,119.67,119.67,119.67,84.21,56.81,59.04,61.04,60.96,61.94,90.66,91.99,85.07,85.87,39.69,39.69,41.42,41.42,46.01,47.1,48.18,48.04,64.88,59.22,59.98,108.93,150.0,72.32,93.04,93.04,97.19,98.74,106.65,103.71,110.25,109.54,103.27,91.69,107.96,110.54,117.97,123.73,116.56,126.54,120.09,78.8,84.39,87.3,82.19,83.36,69.85,87.74,51.66,40.04,54.88,29.73,29.73,41.8,16.75,24.47,30.82,46.26,57.93,59.99,95.23,80.66,67.15,78.63,58.32,54.5,62.21,65.6,150.0,75.23,95.2,40.43,42.63,89.76,65.6,81.81,47.64,41.42
8,29.99,53.36,5.11,13.77,38.66,67.95,31.48,77.34,2.04,7.69,59.76,29.94,53.03,43.87,22.61,16.34,37.05,34.69,53.51,24.34,11.22,36.35,44.57,54.64,20.53,32.54,38.52,39.1,44.55,42.04,40.21,45.18,50.15,27.44,28.96,31.72,36.37,36.43,28.14,25.02,22.49,21.38,20.02,18.8,18.6,14.27,8.3,7.79,5.73,3.24,4.02,32.68,38.63,41.26,39.07,43.54,46.12,49.13,53.14,55.67,54.0,60.4,64.3,30.16,35.73,35.06,35.06,35.06,37.97,39.02,45.28,43.43,43.43,50.74,53.17,53.17,53.17,61.74,61.26,58.34,61.26,57.42,67.16,69.63,75.66,31.23,29.9,28.79,27.37,27.08,22.87,19.94,17.62,27.72,24.56,15.12,10.79,9.61,7.95,5.13,3.6,55.15,55.15,31.95,36.23,34.26,36.37,37.36,38.64,41.34,39.98,45.25,48.93,49.54,49.86,150.0,43.2,28.72,23.46,22.1,19.6,33.15,53.79,14.97,15.18,25.66,27.3,27.88,25.84,23.73,30.53,30.53,31.35,31.35,33.3,18.45,19.08,19.76,23.03,23.54,77.61,9.56,3.61,45.88,31.92,105.6,42.76,10.84,27.6,49.84,50.93,50.93,50.93,12.37,25.93,23.7,23.67,19.74,17.78,15.44,16.08,11.5,13.43,44.6,44.6,43.43,43.43,40.93,40.43,38.93,37.83,36.07,35.82,34.58,90.65,150.0,26.86,17.13,17.11,21.26,22.81,30.72,27.81,34.35,38.73,27.34,15.76,32.03,34.6,42.17,48.07,40.63,51.84,49.63,24.5,30.84,26.28,6.26,7.48,10.71,12.35,34.21,39.07,45.99,48.57,48.57,38.83,63.67,64.62,53.17,36.84,27.34,18.66,58.16,40.47,19.72,38.67,23.86,26.43,23.73,31.35,150.0,12.08,47.86,39.3,45.7,32.05,31.35,5.95,37.1,43.43
9,36.24,59.61,8.62,10.35,44.05,72.79,36.93,82.19,7.69,7.61,63.22,32.4,56.11,45.62,28.76,22.59,36.91,39.58,53.47,24.26,10.51,33.54,41.64,51.83,17.57,38.79,44.69,45.35,50.8,48.29,46.46,51.35,56.4,33.69,35.19,37.94,42.51,42.38,34.21,31.21,28.63,27.53,26.15,24.86,24.8,20.27,14.51,14.0,12.01,8.88,7.31,38.93,44.73,47.14,43.83,48.39,50.97,54.68,57.99,61.92,59.89,65.45,69.15,34.92,37.82,38.17,38.17,38.17,41.05,42.48,48.79,46.9,46.9,54.24,56.63,56.63,56.63,65.2,64.79,63.19,64.79,62.27,70.71,74.48,80.51,37.39,36.0,34.94,33.53,33.33,29.07,26.12,23.8,33.44,30.31,21.39,17.01,15.75,13.95,11.13,6.23,58.61,58.61,34.48,37.72,36.61,37.31,40.44,41.72,44.42,43.06,48.33,52.02,52.62,52.95,150.0,43.95,32.95,29.6,28.02,25.48,38.49,58.23,21.19,21.42,30.26,30.54,27.82,25.71,23.6,30.55,30.55,31.2,31.2,33.16,22.15,22.5,21.42,22.94,23.53,77.61,15.13,9.59,48.91,32.87,105.6,43.05,7.38,24.77,47.02,47.85,47.85,47.85,12.69,32.16,29.94,29.8,25.98,24.02,11.63,12.2,6.49,8.19,49.4,49.4,46.9,46.9,44.01,43.5,41.95,40.78,36.81,36.02,34.44,90.65,150.0,26.82,13.25,13.58,17.73,19.27,27.19,23.93,30.47,34.85,23.8,12.22,28.49,31.07,38.69,44.65,37.1,48.39,46.06,23.9,29.59,23.55,4.08,4.49,16.78,9.04,40.3,43.83,50.99,53.44,53.44,43.75,68.52,68.15,56.63,40.3,33.17,24.82,62.35,45.47,25.62,43.82,29.89,32.48,23.6,31.2,150.0,14.35,51.88,44.11,49.21,32.07,31.2,8.92,40.31,46.9
