,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
0,58.06,192.97,244.02,300.88,127.07,290.28,155.04,334.43,227.06,258.58,305.44,195.88,339.35,275.8,183.93,135.16,315.29,261.7,322.25,323.28,269.04,449.97,496.07,559.26,341.46,70.22,102.24,113.65,149.7,124.95,118.42,144.8,163.87,74.94,98.47,92.72,97.3,121.7,114.06,117.97,124.16,130.17,136.13,152.73,145.73,170.91,188.07,191.48,204.18,227.32,242.51,103.62,124.16,129.9,137.12,164.19,166.51,180.5,196.98,218.65,217.31,241.81,267.62,170.72,180.96,166.21,166.21,166.21,180.85,176.85,193.37,213.17,213.17,235.74,265.27,265.27,265.27,318.81,242.29,230.22,242.29,222.92,266.92,298.89,334.57,142.73,148.79,130.68,128.98,99.48,126.09,129.23,132.21,135.29,157.47,149.31,178.07,186.16,203.44,212.86,241.86,277.65,277.65,195.91,205.51,213.72,232.18,309.7,301.73,290.12,294.96,314.94,309.03,305.1,316.98,240.36,272.17,188.56,178.34,162.77,291.46,164.36,151.0,148.83,137.64,193.36,206.32,221.32,238.43,250.14,249.53,249.53,286.05,286.05,292.89,214.87,228.9,244.32,262.78,288.04,300.7,207.18,230.35,232.63,269.89,270.84,316.85,272.15,387.43,530.59,535.07,535.07,535.07,283.92,84.27,97.56,106.3,115.97,124.81,311.85,316.93,277.03,287.83,170.63,170.63,213.17,213.17,247.46,221.91,208.08,223.08,234.71,255.02,263.1,295.6,299.08,292.98,314.67,325.89,352.05,361.91,376.53,384.33,416.95,455.64,391.31,317.42,413.38,428.59,436.81,457.96,464.48,497.57,518.19,330.0,363.83,374.0,256.54,265.35,180.76,292.94,109.05,137.12,142.41,169.66,169.66,151.41,262.74,220.49,265.27,168.22,132.76,129.56,167.67,155.79,154.39,197.32,191.27,169.95,250.14,286.05,276.42,248.76,212.52,155.36,182.72,248.83,286.05,249.47,179.32,213.17
1,192.97,108.46,377.66,434.54,261.71,282.24,281.05,328.06,363.98,395.5,363.71,322.05,429.23,396.79,319.23,270.76,444.84,400.5,449.13,450.77,405.28,586.93,633.82,697.0,479.2,189.61,186.03,138.61,147.44,119.66,124.07,120.73,102.19,213.02,206.28,187.52,159.7,182.13,221.85,238.6,249.14,255.72,262.44,272.1,274.45,301.57,324.62,327.93,341.07,362.45,377.35,232.25,228.44,251.21,253.34,224.94,218.86,192.74,236.89,220.68,198.73,219.22,261.75,297.8,303.19,285.44,285.44,285.44,296.06,292.07,285.04,305.79,305.79,308.55,322.23,322.23,322.23,361.85,274.26,278.12,274.26,229.01,280.12,307.47,341.62,270.9,282.67,270.71,270.52,243.2,269.04,268.31,269.96,272.69,294.99,284.44,315.43,323.66,340.78,350.21,378.81,352.75,352.75,319.16,327.08,334.74,353.16,430.69,422.72,410.66,415.95,409.25,409.11,394.97,406.86,361.35,393.15,318.56,317.3,305.64,430.47,302.58,288.71,286.3,274.67,328.16,341.39,352.52,366.0,379.99,374.82,374.82,415.61,415.61,417.06,351.2,362.68,377.1,390.81,414.85,428.09,344.92,368.1,370.56,400.61,402.08,444.32,409.2,523.6,668.34,672.82,672.82,672.82,421.67,221.52,228.63,241.31,250.34,260.42,448.73,453.82,413.92,424.72,259.76,259.76,305.79,305.79,337.34,324.46,323.77,338.29,357.61,378.49,387.82,425.17,428.65,419.86,451.55,462.78,488.93,498.8,513.42,521.22,554.27,592.52,528.19,454.31,550.27,565.48,573.7,594.84,601.37,634.45,655.08,457.7,490.43,503.2,393.43,402.24,313.83,426.6,241.88,253.34,196.39,218.53,218.53,258.33,268.32,265.3,322.23,284.52,275.82,267.46,304.29,293.54,292.23,336.39,326.77,303.42,379.99,415.61,404.46,385.48,350.38,259.64,274.38,374.12,415.61,387.2,296.59,305.79
2,244.02,377.66,40.0,108.64,257.34,465.7,247.82,509.86,71.98,88.35,424.87,232.37,410.64,325.01,194.15,156.92,290.43,211.56,238.28,206.51,127.3,290.07,334.63,397.81,186.87,260.13,287.53,305.32,341.29,313.63,301.59,326.02,349.55,232.97,255.01,265.97,273.85,265.36,217.13,200.53,183.89,175.6,166.63,179.67,150.29,130.32,96.2,93.06,83.5,62.59,64.8,275.14,298.64,299.32,292.28,321.85,338.02,364.04,372.4,394.07,399.66,422.21,443.04,239.68,256.11,268.88,268.88,268.88,287.85,296.28,336.59,330.42,330.42,368.62,384.7,384.7,384.7,438.26,412.29,393.83,412.29,398.34,442.34,474.31,509.99,252.14,238.43,229.79,219.58,214.81,189.06,179.45,166.14,161.78,143.82,142.19,120.09,113.25,114.18,90.69,83.73,397.08,397.08,248.66,262.02,262.65,273.13,358.91,350.94,339.33,344.17,364.14,364.66,371.28,387.88,283.05,304.88,226.82,194.25,179.61,273.3,164.18,151.3,150.51,150.98,201.71,187.06,214.17,220.88,207.53,242.66,242.66,255.28,255.28,273.21,170.95,177.4,177.58,199.54,226.66,234.63,114.43,85.05,138.32,158.36,163.98,210.86,100.49,231.9,369.15,373.63,373.63,373.63,128.15,211.07,199.65,186.86,176.59,165.82,128.73,134.24,101.72,114.6,323.53,323.53,330.42,330.42,318.99,308.12,288.28,287.6,265.5,280.38,280.91,245.02,246.56,223.88,127.03,138.26,164.41,174.28,188.9,196.7,230.93,268.0,203.67,129.79,225.75,240.95,249.18,270.32,276.85,309.93,330.55,210.19,251.65,229.44,73.03,82.69,110.3,100.7,267.24,292.28,321.91,345.08,345.08,293.79,438.16,395.91,384.7,282.63,204.26,172.84,129.9,148.56,147.68,180.7,195.33,217.12,207.53,255.28,200.82,138.46,125.08,295.75,334.94,242.22,255.28,95.81,281.5,330.42
3,300.88,434.54,108.64,49.27,314.2,522.56,304.68,566.71,124.44,101.89,470.04,285.53,450.41,364.78,251.0,213.77,311.24,263.54,262.72,225.12,150.38,250.02,291.9,355.08,164.89,316.98,344.39,362.18,398.14,370.52,358.48,382.9,406.42,289.83,311.89,322.85,330.73,322.24,274.07,257.43,240.8,232.49,223.55,236.59,207.18,187.39,153.06,149.92,140.36,118.13,107.17,331.01,355.5,356.18,349.14,378.7,394.88,420.9,429.26,450.92,456.52,479.06,499.89,296.54,311.4,325.74,325.74,325.74,342.16,353.14,393.44,370.48,370.48,421.38,429.88,429.88,429.88,483.44,460.7,442.24,460.7,455.2,497.84,531.16,566.84,309.0,295.29,286.64,276.43,271.67,245.91,236.31,222.99,218.63,200.67,199.06,176.95,170.08,169.94,145.2,113.54,442.26,442.26,300.95,313.07,314.16,304.65,398.68,390.72,379.1,383.94,403.92,404.44,411.05,427.66,311.21,335.17,283.67,250.92,236.47,323.63,220.97,208.16,207.37,207.83,258.08,243.18,261.11,246.52,233.62,267.85,267.85,279.2,279.2,294.02,220.66,220.46,214.05,223.46,249.24,259.98,167.89,137.06,186.75,187.96,196.11,234.13,112.71,212.75,326.42,330.9,330.9,330.9,143.22,267.93,256.52,243.72,233.45,222.67,86.28,92.14,92.13,105.38,380.38,380.38,370.48,370.48,358.76,355.16,335.47,327.65,296.47,306.01,301.72,268.93,270.48,248.58,84.3,95.52,121.68,131.55,146.16,153.96,188.2,225.28,160.94,87.06,183.02,198.22,206.45,227.6,234.12,267.2,287.82,227.32,250.18,217.34,95.0,83.12,167.3,49.27,324.09,349.14,378.76,401.94,401.94,350.64,495.02,452.76,429.88,339.49,261.12,229.7,186.76,205.42,204.54,236.07,252.18,273.98,233.62,279.2,223.62,173.6,177.15,352.6,391.8,267.4,279.2,120.37,336.67,370.48
4,127.07,261.71,257.34,314.2,50.5,295.2,76.52,339.36,237.46,268.51,246.75,123.68,287.56,203.07,121.33,167.66,246.74,235.96,258.62,270.55,253.03,441.12,490.5,554.06,336.26,132.73,156.12,183.28,209.39,195.63,191.19,216.7,234.36,132.86,170.18,167.39,170.52,195.11,184.81,173.85,174.25,179.83,185.42,202.35,189.9,197.98,204.64,208.05,218.19,240.41,254.57,137.21,133.41,119.0,111.96,141.53,157.7,207.93,201.9,223.58,232.09,252.94,272.54,94.82,108.46,101.08,101.08,101.08,118.12,118.16,156.76,156.58,156.58,188.8,206.58,206.58,206.58,260.14,232.46,214.0,232.46,227.84,269.6,303.82,339.49,64.18,78.84,79.13,98.59,102.12,117.87,126.59,139.42,146.89,166.62,178.65,185.33,189.61,206.41,217.29,251.35,218.96,218.96,121.91,133.5,141.03,159.45,236.98,229.01,217.4,222.23,242.21,242.73,248.71,264.94,167.64,199.44,117.98,132.3,130.74,268.3,156.02,154.63,156.28,160.48,135.67,150.4,158.86,167.78,181.61,176.76,176.76,217.54,217.54,220.21,178.99,184.56,197.84,205.57,224.46,236.28,202.98,230.61,211.15,228.59,235.08,261.8,280.28,375.69,525.39,529.87,529.87,529.87,283.82,140.69,151.12,142.14,153.09,157.98,322.68,328.36,288.46,298.15,143.21,143.21,156.58,156.58,195.84,164.73,143.97,158.55,161.84,182.26,190.33,227.12,230.6,229.76,326.09,337.32,363.47,373.34,387.96,395.76,420.07,467.06,402.73,328.85,424.81,440.01,448.24,469.38,475.91,509.0,526.03,278.09,303.43,331.12,267.97,276.78,199.45,306.26,77.11,111.96,165.0,174.68,174.68,113.47,267.67,225.42,206.58,104.51,104.11,133.61,178.51,157.6,152.86,175.71,129.9,106.32,181.61,217.54,219.31,226.32,205.15,115.43,154.62,176.06,217.54,249.45,115.62,156.58
5,290.28,282.24,465.7,522.56,295.21,74.03,278.34,105.2,448.35,478.54,222.6,311.61,344.8,330.76,331.71,361.63,389.16,449.99,430.04,444.97,448.37,617.35,674.92,738.83,539.51,280.22,276.56,247.34,211.43,246.96,262.77,280.83,269.83,298.16,320.13,312.25,304.44,333.86,355.6,357.3,362.13,368.04,373.75,382.68,381.26,400.24,409.75,413.16,425.86,449.0,464.19,291.19,231.04,242.69,235.66,193.75,187.67,161.32,136.86,140.81,139.65,116.81,89.82,289.71,286.75,266.98,266.98,266.98,271.19,267.2,240.08,232.02,232.02,197.55,181.11,181.11,181.11,220.73,133.14,153.99,133.14,115.04,113.17,110.32,127.63,275.85,291.53,304.03,314.96,303.7,328.25,337.49,345.88,351.29,373.3,376.56,394.9,401.83,418.53,429.82,462.74,211.63,211.63,301.21,300.82,296.47,288.12,360.25,352.28,339.51,345.5,324.82,324.69,310.55,322.43,295.35,327.14,309.05,342.92,347.78,479.77,371.85,364.86,364.41,359.13,338.87,353.36,348.53,354.91,368.11,337.24,337.24,374.66,374.66,352.93,384.42,387.52,396.19,389.85,399.37,406.77,420.39,444.03,420.65,417.53,421.31,437.78,481.79,559.98,706.49,719.4,719.4,719.4,486.32,314.19,332.68,331.32,343.55,350.19,532.73,538.61,496.05,503.62,229.09,229.09,232.02,232.02,252.92,265.31,279.82,274.52,303.19,323.75,338.61,388.31,391.78,404.78,536.35,547.57,573.73,583.59,598.21,606.01,616.3,663.54,612.98,539.1,635.06,650.27,658.49,679.64,686.16,716.81,720.98,455.45,477.16,505.97,478.22,487.03,403.73,514.62,279.22,235.66,203.8,167.08,167.08,238.76,89.5,151.06,181.11,260.52,322.38,342.13,385.15,369.48,367.45,392.83,340.11,309.35,368.11,374.66,403.1,428.79,422.03,239.12,242.14,327.36,374.66,463.16,273.35,232.02
6,155.04,281.05,247.82,304.68,76.52,278.34,40.0,322.5,227.88,257.7,228.89,89.15,254.17,168.54,95.34,162.57,212.21,216.42,224.09,236.02,222.3,409.09,466.58,530.57,322.63,160.67,180.34,211.64,216.03,223.99,219.55,245.06,256.97,150.44,189.2,193.96,198.88,223.07,196.69,179.66,178.24,182.94,185.22,200.93,184.72,192.51,198.95,202.36,210.08,230.87,245.02,162.52,124.12,102.13,95.09,124.67,140.84,191.12,185.04,206.71,215.22,236.08,255.68,59.83,74.69,79.45,79.45,79.45,100.27,100.31,139.73,139.55,139.55,171.77,188.73,188.73,188.73,242.29,215.44,196.97,215.44,210.98,252.57,286.95,322.63,55.87,64.85,81.64,96.19,114.81,113.25,120.94,133.86,141.34,160.94,172.99,179.29,182.15,197.0,207.59,241.75,201.11,201.11,87.38,99.19,106.5,124.92,202.45,194.47,182.86,187.7,207.68,208.2,214.81,231.42,133.1,164.9,83.22,106.56,115.02,257.04,147.34,148.63,150.58,154.92,102.58,117.06,125.17,133.25,147.08,142.23,142.23,183.01,183.01,185.67,148.12,151.22,164.5,171.04,189.93,201.75,190.56,220.99,184.44,194.62,200.55,227.27,258.94,350.59,498.23,511.14,511.14,511.14,263.57,153.47,157.35,147.31,152.22,153.37,312.84,318.79,275.19,281.53,126.19,126.19,139.55,139.55,162.52,139.15,116.18,124.36,127.31,147.73,155.8,192.6,196.07,195.24,316.52,327.75,353.9,363.76,378.39,386.19,406.7,453.94,393.16,319.28,415.24,430.45,438.67,459.82,466.34,499.43,511.38,243.56,268.9,296.59,258.4,267.21,193.75,296.74,94.0,95.09,157.39,157.82,157.82,96.55,250.8,208.55,188.73,86.66,96.43,128.08,172.9,151.34,145.95,161.98,103.73,74.91,147.08,183.01,184.78,195.46,190.29,98.56,137.59,141.53,183.01,239.61,95.41,139.55
7,334.43,328.06,509.86,566.71,339.36,105.2,322.5,77.4,492.5,522.27,261.45,355.03,383.66,369.62,375.86,405.79,428.02,493.87,468.89,483.83,490.86,656.21,713.77,777.68,580.4,324.37,321.14,294.28,258.36,293.9,309.71,327.77,316.76,342.39,364.71,356.88,351.17,380.53,399.82,401.45,406.28,412.19,417.9,427.01,425.41,444.39,453.9,457.31,470.01,493.15,508.34,335.3,275.19,286.84,279.8,237.9,231.82,206.86,181.01,186.82,184.62,157.11,126.99,333.86,328.66,309.23,309.23,309.23,310.92,306.92,278.93,270.88,270.88,236.41,219.97,219.97,219.97,259.59,172.0,192.84,172.0,159.61,143.7,103.79,98.76,320.0,335.69,348.18,359.11,347.85,372.4,381.64,390.03,395.44,417.45,420.71,439.05,445.98,462.68,473.97,506.89,250.49,250.49,341.55,340.09,335.33,326.98,399.11,391.14,378.37,384.36,363.68,363.54,349.4,361.29,334.21,366.0,352.75,387.03,391.93,523.6,415.99,409.01,408.56,403.28,382.89,397.35,392.23,397.86,410.3,376.1,376.1,413.51,413.51,391.8,428.41,431.52,439.01,430.68,438.22,445.63,464.54,488.18,464.61,459.54,463.4,477.01,523.87,598.84,745.35,758.26,758.26,758.26,528.23,358.34,376.83,375.47,387.7,394.34,576.65,582.76,539.3,545.59,272.66,272.66,270.88,270.88,291.77,304.16,319.11,313.38,342.05,362.61,377.46,427.17,430.65,443.64,580.5,591.72,617.88,627.74,642.36,650.16,655.15,702.4,657.14,583.26,679.21,694.42,702.64,723.79,730.32,759.34,759.84,495.06,516.01,544.83,522.37,531.19,447.88,558.78,323.37,279.8,247.95,211.24,211.24,282.91,128.04,189.92,219.97,300.25,366.54,386.28,429.3,413.63,411.6,436.89,384.26,353.51,410.3,413.51,443.52,471.67,466.15,283.27,281.19,366.22,413.51,507.31,313.08,270.88
8,227.06,363.98,71.98,124.44,237.46,448.35,227.88,492.5,52.31,78.85,404.93,209.44,390.7,305.06,174.21,139.99,266.86,189.06,214.77,183.17,106.36,279.2,325.3,388.48,170.69,243.19,271.53,288.38,324.29,300.74,288.8,314.82,335.3,215.92,241.12,254.57,265.3,262.11,212.48,192.44,176.99,169.0,160.01,173.78,143.54,126.28,89.79,86.63,72.81,60.82,65.72,257.93,280.79,279.44,272.4,301.97,318.14,346.9,355.05,376.72,382.42,404.92,425.69,219.74,236.17,248.94,248.94,248.94,267.9,276.34,316.65,310.48,310.48,348.68,364.76,364.76,364.76,418.32,392.35,373.88,392.35,380.99,424.99,456.96,492.64,232.26,218.52,209.89,199.68,197.39,169.75,160.13,147.12,144.11,125.52,126.22,102.7,94.04,92.35,67.1,62.23,377.14,377.14,227.72,240.63,241.37,249.2,338.97,331.0,319.39,324.22,344.2,344.72,351.34,367.94,258.32,283.12,206.88,173.31,159.67,254.43,144.0,132.3,131.98,134.1,178.11,163.13,190.24,197.37,184.02,219.15,219.15,231.76,231.76,249.63,146.52,153.71,154.07,176.03,203.15,211.11,88.33,61.78,114.8,134.92,140.52,187.34,93.06,216.01,359.82,364.3,364.3,364.3,113.18,194.68,184.56,170.7,160.25,149.08,132.34,137.43,97.55,108.37,303.65,303.65,310.48,310.48,299.05,288.17,268.34,267.66,241.13,255.5,255.83,221.5,223.04,200.36,135.12,146.35,172.5,182.36,196.99,204.79,238.79,276.09,211.76,137.88,233.84,249.04,257.26,278.41,284.94,318.02,338.64,186.85,228.72,208.58,76.78,85.85,105.74,116.51,247.93,272.4,304.55,327.73,327.73,273.91,420.81,378.56,364.76,262.69,184.36,153.68,113.4,128.94,127.8,160.3,175.39,197.18,184.02,231.76,177.31,115.07,99.41,275.87,315.06,218.7,231.76,72.1,261.56,310.48
9,258.58,395.5,88.35,101.89,268.51,478.54,257.7,522.27,78.85,58.37,418.23,232.17,398.66,313.03,205.2,171.54,259.49,213.45,211.34,173.63,98.61,257.86,303.94,367.13,151.63,274.74,302.98,319.93,355.79,332.26,320.32,346.61,366.83,247.36,272.65,286.31,297.23,294.66,244.6,224.15,208.77,200.83,191.88,205.8,175.52,158.71,122.5,119.34,105.55,88.1,75.66,288.0,311.55,308.97,301.94,331.51,347.68,378.09,385.88,407.55,413.43,435.85,456.52,248.86,258.24,272.44,272.44,272.44,289.16,299.84,340.14,318.73,318.73,368.79,378.06,378.06,378.06,431.63,408.71,390.24,408.71,411.82,445.12,485.07,520.75,263.26,248.96,240.94,230.72,228.5,200.82,191.17,178.22,175.69,157.11,157.79,134.48,125.33,123.7,97.92,66.64,390.45,390.45,248.11,260.34,261.39,252.91,346.94,338.96,327.35,332.19,352.17,352.69,359.3,375.91,259.47,283.42,234.5,203.87,190.61,277.73,174.98,163.87,163.58,165.66,205.31,189.95,207.99,194.67,181.65,216.1,216.1,227.44,227.44,242.27,165.67,166.6,161.51,171.71,198.83,208.23,118.04,86.32,132.0,135.78,143.9,182.53,66.84,198.08,338.47,342.95,342.95,342.95,94.24,226.15,216.08,202.15,191.74,180.63,107.24,112.3,70.75,79.45,329.95,329.95,318.73,318.73,307.01,302.78,283.09,275.91,244.7,254.26,249.97,217.18,218.72,197.5,111.32,122.55,148.7,158.56,173.19,180.98,214.15,252.29,187.96,114.08,210.04,225.24,233.46,254.61,261.14,294.22,314.84,177.32,217.45,193.88,56.66,63.36,138.24,93.95,278.65,301.94,335.71,358.57,358.57,301.92,449.08,407.76,378.06,286.19,215.4,184.73,145.27,160.03,158.84,189.52,205.27,226.89,181.65,227.44,171.87,120.84,126.03,304.07,340.93,215.66,227.44,69.8,283.56,318.73
