,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 1,Tondo,"14.6044, 120.9669","2,995",515,"1,394",67,26.06,70.55,3.39
MBarangay 10,Tondo,"14.6062, 120.9704",160,130,238,10,34.39,62.96,2.65
MBarangay 100,Tondo,"14.6229, 120.9607","2,222",555,"1,342",82,28.04,67.81,4.14
MBarangay 101,Tondo,"14.6274, 120.9608","15,358","4,109","7,514",230,34.67,63.39,1.94
MBarangay 102,Tondo,"14.6230, 120.9623","4,157","1,128","2,162",128,33,63.25,3.74
MBarangay 103,Tondo,"14.6218, 120.9624","4,772","1,421","2,848",162,32.07,64.27,3.66
MBarangay 104,Tondo,"14.6206, 120.9627","5,741","1,661","3,482",191,31.14,65.28,3.58
MBarangay 105,Tondo,"14.6239, 120.9573","24,971","8,841","14,076",289,38.1,60.66,1.25
MBarangay 106,Tondo,"14.6247, 120.9615","2,513",916,"1,850",85,32.13,64.89,2.98
MBarangay 107,Tondo,"14.6189, 120.9592","7,003","2,043","4,129",205,32.04,64.75,3.21
MBarangay 108,Tondo,"14.6189, 120.9627","5,391","1,618","3,272",189,31.86,64.42,3.72
MBarangay 109,Tondo,"14.6184, 120.9641","3,254","1,146","2,342",158,31.43,64.23,4.33
MBarangay 11,Tondo,"14.6018, 120.9656","2,758",669,"1,445",74,30.58,66.04,3.38
MBarangay 110,Tondo,"14.6161, 120.9591","2,677",801,"1,649",74,31.74,65.33,2.93
MBarangay 111,Tondo,"14.6175, 120.9637","2,661",621,"1,276",81,31.4,64.51,4.1
MBarangay 112,Tondo,"14.6174, 120.9624","5,593","1,225","2,390",137,32.65,63.7,3.65
MBarangay 116,Tondo,"14.6157, 120.9624","5,943","2,168","4,559",219,31.21,65.63,3.15
MBarangay 117,Tondo,"14.6162, 120.9640","4,160","1,444","2,792",160,32.85,63.51,3.64
MBarangay 118,Tondo,"14.6129, 120.9606","10,840","3,374","6,362",341,33.48,63.13,3.38
MBarangay 119,Tondo,"14.6140, 120.9625","2,345","1,057","2,106",88,32.51,64.78,2.71
MBarangay 12,Tondo,"14.6008, 120.9652","2,137",877,"1,663",114,33.04,62.66,4.3
MBarangay 120,Tondo,"14.6131, 120.9623","3,873","1,118","2,279",128,31.72,64.65,3.63
MBarangay 121,Tondo,"14.6123, 120.9642","4,511","1,909","3,535",173,33.99,62.93,3.08
MBarangay 122,Tondo,"14.6150, 120.9640","3,824","1,321","2,785",151,31.03,65.42,3.55
MBarangay 123,Tondo,"14.6104, 120.9602","8,660","2,880","5,415",195,33.92,63.78,2.3
MBarangay 124,Tondo,"14.6324, 120.9651",159,858,"1,679",89,32.67,63.94,3.39
MBarangay 125,Tondo,"14.6343, 120.9662","4,510",666,"1,353",79,31.74,64.49,3.77
MBarangay 126,Tondo,"14.6333, 120.9637","1,162",292,719,43,27.7,68.22,4.08
MBarangay 127,Tondo,"14.6348, 120.9647",565,169,401,27,28.31,67.17,4.52
MBarangay 128,Tondo,"14.6325, 120.9524","23,702","6,836","11,075",307,37.52,60.79,1.69
MBarangay 129,Tondo,"14.6300, 120.9639","5,716","1,895","3,300",166,35.35,61.56,3.1
MBarangay 13,Tondo,"14.6030, 120.9660","2,371",712,"1,488",80,31.23,65.26,3.51
MBarangay 130,Tondo,"14.6289, 120.9636","1,758",593,"1,178",45,32.65,64.87,2.48
MBarangay 131,Tondo,"14.6314, 120.9655","1,621",423,964,56,29.31,66.81,3.88
MBarangay 132,Tondo,"14.6285, 120.9671",925,255,716,65,24.61,69.11,6.27
MBarangay 133,Tondo,"14.6275, 120.9645","2,115",755,"1,450",58,33.36,64.07,2.56
MBarangay 134,Tondo,"14.6292, 120.9657","1,058",261,716,64,25.07,68.78,6.15
MBarangay 135,Tondo,"14.6340, 120.9696","1,935",568,"1,397",92,27.61,67.91,4.47
MBarangay 136,Tondo,"14.6311, 120.9687","1,197",235,651,42,25.32,70.15,4.53
MBarangay 137,Tondo,"14.6293, 120.9680",911,230,546,51,27.81,66.02,6.17
MBarangay 138,Tondo,"14.6328, 120.9664","2,939",909,"1,945",136,30.4,65.05,4.55
MBarangay 139,Tondo,"14.6308, 120.9682",371,120,273,33,28.17,64.08,7.75
MBarangay 14,Tondo,"14.6025, 120.9668","2,070",804,"1,402",77,35.22,61.41,3.37
MBarangay 140,Tondo,"14.6310, 120.9671",543,164,455,52,24.44,67.81,7.75
MBarangay 141,Tondo,"14.6318, 120.9678",529,130,354,22,25.69,69.96,4.35
MBarangay 142,Tondo,"14.6334, 120.9670","1,710",557,"1,107",65,32.22,64.03,3.76
MBarangay 143,Tondo,"14.6315, 120.9706","1,401",401,565,26,40.42,56.96,2.62
MBarangay 144,Tondo,"14.6313, 120.9697",880,664,"1,067",44,37.41,60.11,2.48
MBarangay 145,Tondo,"14.6327, 120.9697","1,029",309,742,66,27.66,66.43,5.91
MBarangay 146,Tondo,"14.6335, 120.9680","2,895",794,"1,796",144,29.04,65.69,5.27
MBarangay 147,Tondo,"14.6237, 120.9678","2,275",576,"1,459",105,26.92,68.18,4.91
MBarangay 148,Tondo,"14.6246, 120.9684","2,333",582,"1,701",131,24.11,70.46,5.43
MBarangay 149,Tondo,"14.6209, 120.9710","1,554",457,"1,180",102,26.28,67.86,5.87
MBarangay 15,Tondo,"14.6029, 120.9649","1,119",354,697,34,32.63,64.24,3.13
MBarangay 150,Tondo,"14.6211, 120.9688","2,277",802,"1,512",82,33.47,63.11,3.42
MBarangay 151,Tondo,"14.6193, 120.9703","1,639",427,906,66,30.52,64.76,4.72
MBarangay 152,Tondo,"14.6223, 120.9742","6,218","1,080","2,250",172,30.84,64.25,4.91
MBarangay 153,Tondo,"14.6225, 120.9730","2,051",780,"1,800",123,28.86,66.59,4.55
MBarangay 154,Tondo,"14.6195, 120.9721",948,210,835,67,18.88,75.09,6.03
MBarangay 155,Tondo,"14.6212, 120.9741","3,257",902,"1,881",133,30.93,64.51,4.56
MBarangay 156,Tondo,"14.6181, 120.9726","1,615",401,"1,084",96,25.36,68.56,6.07
MBarangay 157,Tondo,"14.6193, 120.9735","1,505",581,"1,359",135,28,65.49,6.51
MBarangay 158,Tondo,"14.6208, 120.9725","1,934",670,"1,448",95,30.28,65.43,4.29
MBarangay 159,Tondo,"14.6195, 120.9744","1,558",523,"1,104",74,30.75,64.9,4.35
MBarangay 16,Tondo,"14.6022, 120.9652","1,477",547,"1,146",99,30.52,63.95,5.52
MBarangay 160,Tondo,"14.6204, 120.9739","1,256",720,"1,551",104,30.32,65.31,4.38
MBarangay 161,Tondo,"14.6281, 120.9748","1,004",324,777,56,28,67.16,4.84
MBarangay 162,Tondo,"14.6270, 120.9745",556,167,504,45,23.32,70.39,6.28
MBarangay 163,Tondo,"14.6242, 120.9740","3,840","1,737","3,462",191,32.23,64.23,3.54
MBarangay 164,Tondo,"14.6252, 120.9742","1,807",579,"1,400",104,27.8,67.21,4.99
MBarangay 165,Tondo,"14.6259, 120.9745","1,014",326,326,41,32.96,62.89,4.15
MBarangay 166,Tondo,"14.6259, 120.9722",882,271,765,103,23.79,67.16,9.04
MBarangay 167,Tondo,"14.6246, 120.9719",926,297,867,92,23.65,69.03,7.32
MBarangay 168,Tondo,"14.6263, 120.9702","1,387",314,904,124,23.4,67.36,9.24
MBarangay 169,Tondo,"14.6250, 120.9700",914,433,"1,170",104,25.37,68.54,6.09
MBarangay 17,Tondo,"14.6016, 120.9637","1,176",358,802,51,29.56,66.23,4.21
MBarangay 170,Tondo,"14.6270, 120.9692","1,378",196,616,70,22.22,69.84,7.94
MBarangay 171,Tondo,"14.6260, 120.9684","1,124",320,"1,003",60,23.14,72.52,4.34
MBarangay 172,Tondo,"14.6278, 120.9682","1,210",448,951,65,30.6,64.96,4.44
MBarangay 173,Tondo,"14.6284, 120.9728","1,616",539,"1,397",101,26.46,68.58,4.96
MBarangay 174,Tondo,"14.6272, 120.9725",715,157,420,58,24.72,66.14,9.13
MBarangay 175,Tondo,"14.6293, 120.9706",988,282,749,77,25.45,67.6,6.95
MBarangay 176,Tondo,"14.6283, 120.9698","1,278",399,914,83,28.58,65.47,5.95
MBarangay 177,Tondo,"14.6344, 120.9728","3,308",956,"2,174",109,29.52,67.12,3.37
MBarangay 178,Tondo,"14.6334, 120.9740","1,519",359,826,65,28.72,66.08,5.2
MBarangay 179,Tondo,"14.6298, 120.9734","1,021",882,"2,006",188,28.67,65.21,6.11
MBarangay 18,Tondo,"14.6006, 120.9638","1,982",591,"1,450",99,27.62,67.76,4.63
MBarangay 180,Tondo,"14.6301, 120.9717","2,145",970,"2,153",144,29.69,65.9,4.41
MBarangay 181,Tondo,"14.6310, 120.9734","2,773",756,"1,618",124,30.26,64.77,4.96
MBarangay 182,Tondo,"14.6323, 120.9715","3,936","1,911","3,842",249,31.84,64.01,4.15
MBarangay 183,Tondo,"14.6324, 120.9735","8,424",868,"1,845",161,30.2,64.2,5.6
MBarangay 184,Tondo,"14.6341, 120.9757","3,311","1,097","2,303",162,30.8,64.65,4.55
MBarangay 185,Tondo,"14.6294, 120.9750","3,532","1,024","2,303",170,29.28,65.86,4.86
MBarangay 186,Tondo,"14.6315, 120.9754","1,678",540,"1,237",107,28.66,65.66,5.68
MBarangay 187,Tondo,"14.6359, 120.9816",886,211,616,44,24.23,70.72,5.05
MBarangay 188,Tondo,"14.6357, 120.9804",865,364,850,78,28.17,65.79,6.04
MBarangay 189,Tondo,"14.6368, 120.9808","1,481",357,"1,084",105,23.09,70.12,6.79
MBarangay 19,Tondo,"14.6024, 120.9636","2,272",753,"1,514",94,31.89,64.13,3.98
MBarangay 190,Tondo,"14.6374, 120.9801","1,232",318,784,69,27.16,66.95,5.89
MBarangay 191,Tondo,"14.6373, 120.9815",703,192,490,30,26.97,68.82,4.21
MBarangay 192,Tondo,"14.6387, 120.9798","1,878",408,"1,119",111,24.91,68.32,6.78
MBarangay 193,Tondo,"14.6349, 120.9799",979,290,830,63,24.51,70.16,5.33
MBarangay 194,Tondo,"14.6351, 120.9787",775,244,605,39,27.48,68.13,4.39
MBarangay 195,Tondo,"14.6343, 120.9790","1,401",361,827,37,29.47,67.51,3.02
MBarangay 196,Tondo,"14.6348, 120.9810","1,631",268,702,59,26.04,68.22,5.73
MBarangay 197,Tondo,"14.6340, 120.9806",523,256,580,37,29.32,66.44,4.24
MBarangay 198,Tondo,"14.6310, 120.9768","5,032","1,604","3,558",235,29.72,65.93,4.35
MBarangay 199,Tondo,"14.6342, 120.9773","3,471","1,074","2,151",130,32.01,64.11,3.87
MBarangay 2,Tondo,"14.6051, 120.9675","1,887",460,"1,152",50,27.68,69.31,3.01
MBarangay 20,Tondo,"14.6063, 120.9505","45,772","14,155","23,802",645,36.67,61.66,1.67
MBarangay 200,Tondo,"14.6332, 120.9769","1,666",563,"1,199",90,30.4,64.74,4.86
MBarangay 201,Tondo,"14.6316, 120.9790","1,152",386,"1,243",82,22.56,72.65,4.79
