,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Bagumbayan North,"14.6524, 120.9489","1,677",751,"1,712",116,29.12,66.38,4.5
Bagumbayan South,"14.6511, 120.9505","4,331","1,526","3,301",224,30.21,65.35,4.43
Bangculasi,"14.6502, 120.9522","8,344","2,394","5,258",302,30.1,66.11,3.8
Daanghari,"14.6668, 120.9406","14,348","5,087","11,123",684,30.11,65.84,4.05
Navotas East,"14.6549, 120.9487","2,126",641,"1,440",133,28.95,65.04,6.01
Navotas West,"14.6546, 120.9480","6,367","1,804","4,026",278,29.54,65.91,4.55
NBBS Dagat-dagatan,"14.6486, 120.9575","32,681",,,,29.58,66.34,4.08
NBBS Kaunlaran,"14.6444, 120.9566","21,916",,,,29.58,66.34,4.08
NBBS Proper,"14.6427, 120.9544","18,217",,,,29.58,66.34,4.08
North Bay Boulevard North,"14.6477, 120.9503","14,743","4,716","9,072",346,33.37,64.19,2.45
San Jose,"14.6627, 120.9455","23,950","7,489","17,052","1,040",29.28,66.66,4.07
San Rafael Village,"14.6368, 120.9640","3,489","1,006","2,527",62,27.98,70.29,1.72
San Roque,"14.6715, 120.9398","19,361","5,767","13,045",829,29.36,66.42,4.22
Sipac-Almacen,"14.6576, 120.9458","9,163","2,363","5,829",443,27.37,67.5,5.13
Tangos North,"14.6748, 120.9331","17,514",,,,29.58,66.34,4.08
Tangos South,"14.6715, 120.9340","18,359",,,,29.58,66.34,4.08
Tanza 1,"14.6789, 120.9365","15,319",,,,29.58,66.34,4.08
Tanza 2,"14.6742, 120.9395","15,638",,,,29.58,66.34,4.08
