,number,lat,lon
Monumento,1,14.654455,120.983795
Malanday,2,14.718282,120.957038
Mall of Asia,3,14.535539,120.98372
PITX,4,14.510395,120.992016
North EDSA,5,14.65467,121.029643
Fairview,6,14.735339,121.060035
Quezon Ave,7,14.641742,121.039311
Malaria,8,14.769677,121.079772
Buendia,9,14.554238,120.997071
Taft,10,14.538141,121.000674
Northview,11,14.684234,121.104832
Cubao,12,14.621686,121.050018
Nangka,13,14.669971,121.108374
Sta. Lucia Grandmall,14,14.620197,121.099643
Gilmore,15,14.613692,121.034162
D. Jose,16,14.605315,120.981974
SM City East Ortigas,17,14.588577,121.105247
Kalentong,18,14.593758,121.02694
Pasig,19,14.559793,121.080534
BGC,20,14.548876,121.056359
Ayala,21,14.549203,121.027902
Sucat,22,14.453845,121.044929
Alabang,23,14.415366,121.045285
SM Center Muntinlupa,24,14.377987,121.046291
FTI-Taguig,25,14.506545,121.035636
Victoneta Ave,26,14.665638,120.984136
Marulas,27,14.674657,120.981407
SM City Valenzuela,28,14.685693,120.97648
Karuhatan,29,14.688772,120.974661
Valenzuela City Hall,30,14.692952,120.968104
Governor Santiago,31,14.692512,120.964504
Dalandanan,32,14.704206,120.961396
T Santiago,33,14.710007,120.9596
5th Ave 1,34,14.64448,120.983519
A Mabini,35,14.644887,120.974509
Lapu-lapu,36,14.654464,120.963808
Dagat-dagatan,37,14.657287,120.961658
Navotas,38,14.652035,120.948337
5th Ave 2,39,14.638967,120.956066
Bonifacio,40,14.625389,120.96008
Capulong,41,14.619871,120.959668
Pacheco,42,14.614934,120.960118
Moriones,43,14.608762,120.960906
Lakandula,44,14.605095,120.961243
Recto 1,45,14.599467,120.964995
Intramuros,46,14.590245,120.971111
Padre Faura,47,14.575866,120.979365
Quintos,48,14.572707,120.981091
Ospital ng Maynila,49,14.563628,120.985181
Gil Puyat,50,14.553133,120.98927
Antonio Arnaiz,51,14.545362,120.991109
Bagong Barrio,52,14.657223,120.997138
Shorthorn,53,14.663772,121.022528
Senatorial Drive,54,14.665328,121.02946
Mindanao Ave 1,55,14.668888,121.033283
Tandang Sora 1,56,14.677599,121.032122
Sauyo,57,14.688384,121.030907
Bernardino General H,58,14.700261,121.03469
Novaliches General H,59,14.709478,121.039227
Nitang Ave,60,14.714776,121.040329
Novaliches Market,61,14.721484,121.039616
Novaliches Terminal,62,14.727503,121.041496
Zabarte,63,14.73186,121.048886
GMA Kamuning,64,14.635408,121.04328
V. Luna,65,14.637683,121.046143
EAMC,66,14.642645,121.047275
NKTI,67,14.645383,121.047841
LCP,68,14.649285,121.046001
Philcoa,69,14.653734,121.053041
Technohub,70,14.656985,121.058135
Central Ave,71,14.660544,121.063618
Tandang Sora 2,72,14.662906,121.067297
Diliman Doctors,73,14.669134,121.076211
Ever Gotesco,74,14.678374,121.083463
Batasan,75,14.686312,121.086823
COA,76,14.691034,121.087495
Manggahan,77,14.69627,121.087495
Litex,78,14.700239,121.087212
Pearl Drive,79,14.705884,121.072886
FCM,80,14.706671,121.06857
Atherton,81,14.708724,121.062733
Mindanao Ave 2,82,14.721418,121.052086
Lagro,83,14.730518,121.061142
Amparo,84,14.746176,121.079802
Pangarap,85,14.760574,121.08654
Sct. Borromeo,86,14.639801,121.030309
