,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
0,50.15,131.98,166.02,203.92,88.05,196.85,106.69,226.29,154.71,175.72,206.96,133.92,229.57,187.2,125.95,93.44,213.53,177.8,218.17,218.86,182.69,303.31,334.05,376.17,230.97,52.48,71.49,79.1,103.13,86.63,82.28,99.87,112.58,56.06,70.03,66.56,68.25,84.46,79.37,81.98,86.11,90.11,94.09,105.15,100.49,117.27,128.71,130.99,139.45,154.88,165.01,73.29,86.11,89.93,94.74,112.79,114.34,123.66,134.65,149.1,148.21,164.54,181.74,117.15,123.97,114.14,114.14,114.14,123.9,121.24,132.25,145.45,145.45,160.49,180.18,180.18,180.18,215.88,164.86,156.81,164.86,151.95,181.28,202.6,226.38,98.49,102.53,90.45,89.32,69.65,87.39,89.49,91.48,93.53,108.31,102.87,122.05,127.44,138.96,145.24,164.57,188.44,188.44,133.94,140.34,145.81,158.12,209.8,204.49,196.75,199.97,213.29,209.35,206.73,214.65,163.57,184.78,129.04,122.23,111.84,197.64,112.91,104.0,102.55,95.09,132.24,140.88,150.88,162.29,170.1,169.68,169.68,194.04,194.04,198.59,146.58,155.94,166.21,178.52,195.36,203.8,141.45,156.9,158.42,183.26,183.9,214.57,184.77,261.62,357.06,360.05,360.05,360.05,192.61,59.66,68.37,74.2,80.64,86.54,211.23,214.62,188.02,195.22,117.09,117.09,145.45,145.45,168.31,151.28,142.05,152.05,159.81,173.34,178.73,200.4,202.72,198.65,213.11,220.6,238.03,244.61,254.36,259.56,281.3,307.09,264.2,214.95,278.92,289.06,294.54,308.64,312.99,335.05,348.79,223.33,245.89,252.67,174.36,180.24,123.84,198.63,76.03,94.74,98.27,116.44,116.44,104.27,178.5,150.33,180.18,115.48,91.84,89.7,115.11,107.2,106.26,134.88,130.84,116.63,170.1,194.04,187.61,169.17,145.01,106.9,125.14,169.22,194.04,169.64,122.88,145.45
1,131.98,79.44,255.1,293.02,177.81,191.49,190.7,222.04,245.98,267.0,245.81,218.03,289.48,267.86,216.15,183.84,299.89,270.33,302.75,303.85,273.52,394.62,425.88,468.0,322.8,129.74,127.35,95.74,101.63,83.11,86.05,83.82,74.05,145.35,140.85,128.34,109.8,124.75,151.24,162.4,169.43,173.81,178.29,184.73,186.3,204.38,219.75,221.95,230.71,244.97,254.9,158.16,155.63,170.81,172.23,153.29,149.24,131.83,161.26,150.46,135.82,149.52,177.83,201.87,205.46,193.63,193.63,193.63,200.71,198.05,193.36,207.19,207.19,209.03,218.16,218.16,218.16,244.57,186.17,188.74,186.17,156.01,190.08,208.32,231.08,183.93,191.78,183.8,183.68,165.46,182.69,182.21,183.31,185.13,199.99,192.96,213.62,219.11,230.52,236.81,255.88,238.5,238.5,216.11,221.38,226.49,238.77,290.46,285.15,277.11,280.63,276.17,276.07,266.65,274.57,244.23,265.44,215.7,214.87,207.09,290.31,205.05,195.81,194.2,186.44,222.1,230.92,238.35,247.33,256.66,253.21,253.21,280.41,280.41,281.37,237.47,245.12,254.73,263.87,279.9,288.72,233.28,248.73,250.38,270.41,271.39,299.54,276.14,352.4,448.89,451.88,451.88,451.88,284.45,151.01,155.75,164.21,170.23,176.95,302.49,305.88,279.28,286.48,176.51,176.51,207.19,207.19,228.23,219.64,219.18,228.86,241.74,255.66,261.88,286.78,289.1,283.24,304.37,311.85,329.29,335.87,345.61,350.81,372.84,398.35,355.46,306.2,370.18,380.32,385.8,399.9,404.24,426.3,440.05,308.47,330.29,338.8,265.62,271.49,212.56,287.73,164.59,172.23,134.26,149.02,149.02,175.55,182.21,180.2,218.16,193.02,187.21,181.64,206.19,199.03,198.15,227.59,221.18,205.61,256.66,280.41,272.98,260.32,236.92,176.42,186.25,252.74,280.41,261.47,201.06,207.19
2,166.02,255.1,50.0,75.76,174.89,313.8,168.55,343.24,51.77,62.23,286.58,158.25,277.09,220.0,132.77,107.94,196.96,144.37,162.19,141.01,88.2,196.71,226.42,268.54,127.91,176.75,195.02,206.88,230.86,212.42,204.39,220.68,236.37,158.65,173.34,180.64,185.9,180.24,148.09,137.02,125.93,120.4,114.42,123.11,103.52,90.22,67.47,65.38,59.0,50.0,51.06,186.76,202.43,202.88,198.19,217.9,228.68,246.03,251.6,266.05,269.77,284.81,298.69,163.12,174.07,182.59,182.59,182.59,195.23,200.85,227.73,223.61,223.61,249.08,259.8,259.8,259.8,295.51,278.2,265.88,278.2,268.89,298.23,319.54,343.32,171.43,162.29,156.52,149.72,146.54,129.37,122.97,114.09,111.18,99.21,98.13,83.4,78.83,79.45,63.8,59.15,268.05,268.05,169.11,178.01,178.43,185.42,242.61,237.29,229.56,232.78,246.1,246.44,250.86,261.92,192.04,206.58,154.55,132.83,123.07,185.54,112.79,104.2,103.67,103.99,137.81,128.04,146.11,150.59,141.69,165.11,165.11,173.52,173.52,185.47,117.3,121.6,121.72,136.36,154.44,159.75,79.62,60.04,95.55,108.91,112.65,143.91,70.33,157.94,249.43,252.42,252.42,252.42,88.77,144.05,136.43,127.91,121.06,113.88,89.15,92.83,71.15,79.74,219.02,219.02,223.61,223.61,215.99,208.74,195.52,195.07,180.33,190.25,190.61,166.68,167.7,152.58,88.02,95.5,112.94,119.52,129.26,134.46,157.28,182.0,139.11,89.86,153.83,163.97,169.45,183.55,187.9,209.96,223.7,143.46,171.1,156.3,52.02,58.46,76.87,70.47,181.5,198.19,217.94,233.39,233.39,199.19,295.44,267.28,259.8,191.76,139.51,118.56,89.93,102.38,101.79,123.8,133.55,148.08,141.69,173.52,137.21,95.64,86.72,200.5,226.62,164.81,173.52,67.21,191.0,223.61
3,203.92,293.02,75.76,50.0,212.8,351.71,206.45,381.14,86.29,71.26,316.7,193.69,303.61,246.52,170.67,145.85,210.83,179.03,178.48,153.41,103.58,170.02,197.93,240.06,113.26,214.66,232.93,244.78,268.76,250.34,242.32,258.6,274.28,196.55,211.26,218.57,223.82,218.16,186.05,174.95,163.86,158.33,152.36,161.06,141.46,128.26,105.37,103.28,96.9,82.09,74.78,224.01,240.33,240.78,236.09,255.8,266.58,283.93,289.5,303.95,307.68,322.71,336.6,201.03,210.93,220.49,220.49,220.49,231.44,238.76,265.63,250.32,250.32,284.26,289.92,289.92,289.92,325.62,310.47,298.16,310.47,306.8,335.22,357.45,381.23,209.33,200.2,194.43,187.62,184.44,167.27,160.87,151.99,149.09,137.11,136.04,121.3,116.72,116.63,100.14,79.03,298.17,298.17,203.97,212.05,212.77,206.44,269.12,263.81,256.07,259.29,272.61,272.96,277.37,288.44,210.81,226.78,192.45,170.61,160.98,219.09,150.65,142.11,141.58,141.89,175.39,165.45,177.4,167.68,159.08,181.9,181.9,189.46,189.46,199.35,150.44,150.3,146.04,152.31,169.49,176.65,115.26,94.71,127.84,128.64,134.07,159.42,78.47,145.17,220.95,223.93,223.93,223.93,98.82,181.95,174.35,165.81,158.97,151.78,61.26,64.76,64.79,73.58,256.92,256.92,250.32,250.32,242.51,240.11,226.98,221.77,200.98,207.34,204.48,182.62,183.65,169.06,59.53,67.02,84.45,91.03,100.78,105.98,128.8,153.51,110.62,61.37,125.34,135.48,140.96,155.06,159.41,181.47,195.22,154.88,170.11,148.23,66.67,58.74,114.88,50.0,219.4,236.09,255.84,271.29,271.29,237.09,333.35,305.18,289.92,229.66,177.42,156.47,127.84,140.28,139.69,160.71,171.46,185.99,159.08,189.46,152.41,119.06,121.43,238.4,264.53,181.61,189.46,83.58,227.78,250.32
4,88.05,177.81,174.89,212.8,50.0,200.14,54.35,229.57,161.64,182.34,167.83,85.79,195.04,138.71,84.22,115.11,167.83,160.64,175.75,183.7,172.02,297.41,330.33,372.71,227.51,91.81,107.41,125.51,142.93,133.75,130.79,147.8,159.57,91.91,116.79,114.93,117.01,133.4,126.53,119.23,119.5,123.22,126.95,138.23,129.93,135.32,139.76,142.04,148.79,163.61,173.05,94.81,92.27,82.66,77.97,97.69,108.47,141.95,137.94,152.38,158.06,171.96,185.03,66.54,75.64,70.72,70.72,70.72,82.08,82.1,107.84,107.72,107.72,129.2,141.05,141.05,141.05,176.76,158.31,146.0,158.31,155.23,183.07,205.88,229.66,50.0,56.73,56.46,69.06,71.41,81.91,87.73,96.28,101.26,114.41,122.43,126.89,129.74,140.94,148.19,170.9,149.3,149.3,84.6,92.34,97.35,109.63,161.32,156.0,148.27,151.49,164.81,165.16,169.14,179.96,115.09,136.29,81.98,91.53,90.5,182.2,107.35,106.42,107.52,110.32,93.78,103.6,109.24,115.19,124.41,121.17,121.17,148.36,148.36,150.14,122.66,126.37,135.23,140.38,152.97,160.86,138.65,157.07,144.1,155.73,160.06,177.87,190.19,253.79,353.6,356.59,356.59,356.59,192.55,97.12,104.08,98.09,105.4,108.66,218.46,222.24,195.64,202.1,98.81,98.81,107.72,107.72,133.89,113.15,99.31,109.04,111.23,124.84,130.22,154.75,157.07,156.51,220.73,228.21,245.65,252.22,261.97,267.17,283.38,314.71,271.82,222.57,286.54,296.68,302.16,316.26,320.61,342.66,354.02,188.73,205.62,224.08,181.98,187.85,136.29,207.51,58.28,77.97,113.33,119.79,119.79,78.98,181.78,153.61,141.05,73.01,72.74,92.41,122.34,108.4,105.24,120.47,89.93,74.21,124.41,148.36,149.54,154.21,140.1,80.28,106.41,120.71,148.36,169.63,80.41,107.72
5,196.85,191.49,313.8,351.71,200.14,59.26,188.9,73.5,302.23,322.36,151.73,211.07,233.2,223.84,224.47,244.42,262.77,303.33,290.02,299.98,302.25,414.9,453.28,495.88,363.01,190.15,187.7,168.23,144.29,167.98,178.51,190.55,183.22,202.11,216.75,211.5,206.29,225.91,240.4,241.54,244.75,248.69,252.5,258.45,257.51,270.16,276.5,278.77,287.24,302.66,312.79,197.46,157.36,165.13,160.44,132.5,128.45,110.88,94.57,97.2,96.43,81.21,63.3,196.47,194.5,181.32,181.32,181.32,184.13,181.47,163.38,158.01,158.01,135.03,124.07,124.07,124.07,150.49,92.09,105.99,92.09,80.03,79.23,76.88,88.42,187.23,197.69,206.02,213.3,205.8,222.17,228.33,233.92,237.53,252.2,254.38,266.6,271.22,282.35,289.88,311.82,144.42,144.42,204.14,203.88,200.98,195.41,243.5,238.19,229.68,233.67,219.88,219.79,210.36,218.29,200.23,221.42,209.36,231.95,235.19,323.18,251.23,246.58,246.27,242.75,229.25,238.9,235.68,239.95,248.75,228.16,228.16,253.1,253.1,238.62,259.61,261.68,267.46,263.24,269.58,274.51,283.59,299.36,283.76,281.69,284.2,295.19,324.53,376.65,474.33,482.93,482.93,482.93,327.55,212.79,225.12,224.22,232.37,236.8,358.48,362.41,334.03,339.08,156.06,156.06,158.01,158.01,171.94,180.2,189.88,186.34,205.46,219.16,229.07,262.2,264.52,273.18,360.9,368.38,385.82,392.39,402.14,407.34,414.2,445.69,411.99,362.74,426.71,436.85,442.33,456.43,460.78,481.21,483.99,306.97,321.44,340.65,322.15,328.02,272.49,346.42,189.48,160.44,139.2,114.72,114.72,162.5,68.0,104.04,124.07,177.01,218.26,231.42,260.1,249.65,248.3,265.22,230.07,209.57,248.75,253.1,272.06,289.2,284.69,162.75,164.76,221.57,253.1,312.11,185.57,158.01
6,106.69,190.7,168.55,206.45,54.35,188.9,50.0,218.33,155.25,175.13,155.93,63.01,172.78,115.69,66.89,111.72,144.8,147.61,152.73,160.68,151.53,276.06,314.38,357.04,218.42,110.45,123.56,144.42,147.35,152.66,149.7,166.71,174.64,103.63,129.47,132.64,135.92,152.05,134.46,123.11,122.16,125.29,126.82,137.29,126.48,131.67,135.97,138.24,143.38,157.25,166.68,111.68,86.08,71.42,66.73,86.44,97.22,130.74,126.69,141.14,146.82,160.72,173.79,50.0,53.17,56.3,56.3,56.3,70.18,70.2,96.49,96.37,96.37,117.85,129.15,129.15,129.15,164.86,146.96,134.65,146.96,143.99,171.72,194.64,218.42,50.0,50.94,57.91,67.46,79.87,78.83,83.96,92.57,97.56,110.63,118.66,122.86,124.77,134.66,141.73,164.5,137.4,137.4,61.58,69.46,74.33,86.61,138.3,132.98,125.25,128.47,141.79,142.14,146.54,157.61,92.07,113.27,58.82,74.38,80.02,174.69,101.56,102.42,103.72,106.61,71.72,81.38,86.78,92.16,101.39,98.15,98.15,125.34,125.34,127.12,102.08,104.15,113.0,117.36,129.95,137.83,130.37,150.66,126.29,133.08,137.04,154.85,175.96,237.06,335.49,344.09,344.09,344.09,179.05,105.64,108.23,101.54,104.82,105.59,211.89,215.86,186.8,191.02,87.46,87.46,96.37,96.37,111.68,96.1,80.78,86.24,88.21,101.82,107.2,131.73,134.05,133.49,214.35,221.83,239.27,245.85,255.59,260.79,274.46,305.96,265.44,216.19,280.16,290.3,295.78,309.88,314.23,336.29,344.25,165.71,182.6,201.06,175.6,181.47,132.5,201.16,66.0,66.73,108.26,108.54,108.54,67.7,170.54,142.37,129.15,61.11,67.62,88.72,118.6,104.23,100.63,111.32,72.49,53.92,101.39,125.34,126.52,133.64,130.2,69.04,95.06,97.69,125.34,163.07,66.94,96.37
7,226.29,222.04,343.24,381.14,229.57,73.5,218.33,59.63,331.67,351.52,177.64,240.02,259.1,249.74,253.91,273.86,288.68,332.58,315.93,325.89,330.57,440.81,479.18,521.79,390.27,219.58,217.43,199.52,175.58,199.27,209.8,221.84,214.51,231.59,246.48,241.25,237.45,257.02,269.88,270.97,274.18,278.12,281.93,288.0,286.94,299.59,305.93,308.2,316.67,332.1,342.23,226.86,186.79,194.56,189.87,161.93,157.88,141.24,124.01,127.88,126.41,108.07,87.99,225.91,222.44,209.49,209.49,209.49,210.62,207.95,189.29,183.92,183.92,160.94,149.98,149.98,149.98,176.39,118.0,131.9,118.0,109.74,99.13,72.53,69.77,216.67,227.12,235.45,242.74,235.24,251.6,257.76,263.35,266.96,281.63,283.81,296.03,300.66,311.79,319.31,341.26,170.33,170.33,231.03,230.06,226.88,221.32,269.41,264.09,255.58,259.58,245.79,245.69,236.27,244.19,226.14,247.33,238.5,261.36,264.62,352.4,280.66,276.01,275.71,272.18,258.6,268.24,264.82,268.57,276.86,254.07,254.07,279.01,279.01,264.53,288.94,291.01,296.01,290.46,295.48,300.42,313.02,328.79,313.07,309.7,312.27,321.34,352.58,402.56,500.23,508.84,508.84,508.84,355.49,242.23,254.55,253.65,261.8,266.23,387.77,391.84,362.86,367.06,185.11,185.11,183.92,183.92,197.85,206.11,216.07,212.25,231.37,245.07,254.98,288.11,290.43,299.09,390.33,397.82,415.25,421.83,431.58,436.77,440.1,471.6,441.42,392.17,456.14,466.28,471.76,485.86,490.21,509.56,509.9,333.37,347.34,366.55,351.58,357.46,301.92,375.85,218.91,189.87,168.64,144.16,144.16,191.94,88.7,129.95,149.98,203.5,247.69,260.85,289.54,279.09,277.73,294.6,259.5,239.0,276.86,279.01,299.02,317.78,314.1,192.18,190.79,247.48,279.01,341.54,212.05,183.92
8,154.71,245.98,51.77,86.29,161.64,302.23,155.25,331.67,50.0,56.33,273.29,142.96,263.8,206.71,119.47,96.66,181.24,129.37,146.51,125.45,74.24,189.47,220.2,262.32,117.13,165.46,184.36,195.59,219.53,203.82,195.87,213.21,226.87,147.28,164.08,173.04,180.2,178.07,144.99,131.63,121.33,116.0,110.0,119.19,99.03,87.52,63.19,61.09,53.09,50.03,50.48,175.29,190.53,189.62,184.93,204.65,215.43,234.6,240.03,254.48,258.28,273.28,287.12,149.83,160.78,169.3,169.3,169.3,181.94,187.56,214.43,210.32,210.32,235.79,246.51,246.51,246.51,282.21,264.9,252.59,264.9,257.33,286.66,307.98,331.76,158.17,149.02,143.26,136.45,134.93,116.5,110.09,101.41,99.4,87.01,87.48,71.8,66.03,65.15,51.15,50.3,254.76,254.76,155.15,163.75,164.25,169.47,229.31,224.0,216.26,219.48,232.8,233.15,237.56,248.63,175.54,192.08,141.25,118.87,109.78,172.96,99.33,91.53,91.32,92.73,122.07,112.08,130.16,134.91,126.01,149.43,149.43,157.84,157.84,169.76,101.01,105.8,106.05,120.69,138.77,144.08,62.24,50.01,79.87,93.28,97.02,128.23,65.37,147.34,243.21,246.2,246.2,246.2,78.78,133.12,126.38,117.13,110.17,102.72,91.56,94.95,68.37,75.58,205.77,205.77,210.32,210.32,202.7,195.45,182.23,181.77,164.09,173.67,173.88,151.0,152.03,136.91,93.41,100.9,118.33,124.91,134.66,139.86,162.53,187.39,144.5,95.25,159.22,169.36,174.84,188.94,193.29,215.35,229.09,127.9,155.82,142.39,54.69,60.56,73.83,81.0,168.62,184.93,206.37,221.82,221.82,185.94,283.88,255.71,246.51,178.46,126.24,105.79,78.94,89.29,88.53,110.2,120.26,134.79,126.01,157.84,121.54,80.04,69.61,187.25,213.37,149.14,157.84,52.45,177.71,210.32
9,175.72,267.0,62.23,71.26,182.34,322.36,175.13,351.52,56.33,50.23,282.16,158.11,269.11,212.02,140.13,117.69,176.33,145.64,144.23,119.09,69.07,175.24,205.96,248.09,104.42,186.49,205.32,216.62,240.52,224.84,216.88,234.41,247.89,168.24,185.1,194.21,201.49,199.77,166.4,152.77,142.51,137.22,131.25,140.53,120.35,109.14,85.0,82.89,73.7,62.12,54.93,195.34,211.03,209.32,204.62,224.34,235.12,255.39,260.59,275.03,278.96,293.9,307.68,169.24,175.49,184.96,184.96,184.96,196.1,203.22,230.1,215.82,215.82,249.19,255.38,255.38,255.38,291.08,275.81,263.5,275.81,277.88,300.08,326.72,350.5,178.84,169.3,163.96,157.15,155.67,137.21,130.78,122.14,120.46,108.07,108.53,92.98,86.89,85.8,68.61,51.55,263.63,263.63,168.74,176.89,177.59,171.94,234.62,229.31,221.57,224.79,238.11,238.46,242.87,253.94,176.31,192.28,159.66,139.25,130.41,188.49,119.99,112.58,112.38,113.77,140.21,129.97,141.99,133.11,124.44,147.4,147.4,154.96,154.96,164.85,113.78,114.4,111.01,117.81,135.89,142.15,82.02,60.94,91.34,93.85,99.27,125.02,51.5,135.38,228.98,231.96,231.96,231.96,66.16,154.1,147.39,138.1,131.16,123.75,74.83,78.2,53.07,57.6,223.3,223.3,215.82,215.82,208.01,205.19,192.06,187.27,166.47,172.84,169.98,148.12,149.15,135.0,77.55,85.03,102.47,109.04,118.79,123.99,146.1,171.53,128.64,79.38,143.36,153.49,158.98,173.07,177.42,199.48,213.23,121.54,148.3,132.59,50.04,50.23,95.49,65.97,189.1,204.62,227.14,242.38,242.38,204.61,302.72,275.18,255.38,194.13,146.93,126.48,100.18,110.02,109.23,129.68,140.18,154.59,124.44,154.96,117.91,83.9,87.36,206.04,230.62,147.11,154.96,52.99,192.38,215.82
